curso,entry_id,gold,extras,cru,produto,produto_acerta,na_fila,rota,unidade,unidade_certa,conf,categoria,tipo
SO,exemplo-threads-em-c-exemplo2,conceitos-basicos,,escalonamento,conceitos-basicos,1,1,propagado-headings,unidade-02-gerencia-do-processador,0,1.000,codigo-professor,code
SO,exemplo-threads-em-c-exemplo3,conceitos-basicos,,escalonamento,conceitos-basicos,1,0,propagado-headings,unidade-02-gerencia-do-processador,0,1.000,codigo-professor,code
IA,algoritmo-de-classificacao-k-nn,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.993,material-de-aula,pdf
IA,exemplo-com-k-nn,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,exemplo-de-programa-com-k-nn-em-java,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina,0,1,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,zip
IA,artigo-usando-k-nn-em-texto,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.975,bibliografia,pdf
IA,k-nn-para-classificacao-exemplo-cardio,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,k-nn-para-regressao-exemplo-imc,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,introducao-a-redes-neurais,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.992,material-de-aula,pdf
IA,rede-perceptron,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.908,material-de-aula,pdf
IA,rede-perceptron-classificacao-de-cliente,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,rede-perceptron-classificacao-planta-iris,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,rede-perceptron-exemplo-atualizado,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.896,codigo-professor,code
IA,rede-perceptron-or-em-python,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,rede-perceptron-reconhecendo-letras,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,exercicio-2-solucao-com-rede-perceptron-atualizado,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,mlp,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.988,material-de-aula,pdf
IA,mlp-xoripynb,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,,0,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,mlp-classificacao-iris-atualizado,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.896,codigo-professor,code
IA,mlp-regressao-cardio,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,codigo-professor,code
IA,rede-perceptron-e-equacao-de-reta,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,material-de-aula,pdf
IA,xor-backpropagation-em-python,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.996,codigo-professor,code
IA,mlp-classificacao-inadimplencia-normalizacao-e-gridsearchcv,modelos-preditivos,metricas-de-avaliacao,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.881,codigo-professor,code
IA,como-analisar-resultados-acc-pr-re-e-f1,metricas-de-avaliacao,,introducao-ao-aprendizado-de-maquina,metricas-de-avaliacao,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.897,material-de-aula,pdf
IA,arvores-de-decisao,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.994,material-de-aula,pdf
IA,exemplo-1-arvores-de-decisao-classificacao-planta-iris,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.993,codigo-professor,code
IA,exemplo-2-arvores-de-decisao-regressao-diabetes,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.993,codigo-professor,code
IA,aula-sobre-agrupamento-parte-1-particional,modelos-descritivos,paradigmas-de-aprendizado,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.945,material-de-aula,pdf
IA,agrupamento-usando-k-means-exemplo-1-ipynb,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.979,codigo-professor,code
IA,agrupamento-usando-k-means-exemplo-2-ipynb,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.993,codigo-professor,code
IA,artigo-usando-agrupamento,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0,propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.965,bibliografia,pdf
IA,survey-on-clustering,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,1,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,1.000,material-de-aula,pdf
IA,aula-sobre-agrupamento-parte-2-hierarquico,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina,0,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.993,material-de-aula,pdf
IA,agrupamento-hierarquico-exemplo-1,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.993,codigo-professor,code
IA,agrupamento-hierarquico-exemplo-2-use-o-dataset-da-planta-iris,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0,1a-passada,unidade-de-aprendizagem-05-aprendizado-de-maquina,1,0.995,codigo-professor,code
ES2,microsservicos,orientada-a-microsservicos,,arquitetura-serverless,orientada-a-microsservicos,1,0,1a-passada,unidade-01-arquitetura-de-software,1,0.623,material-de-aula,pdf
ES2,roteiro1,estudo-de-caso-arquitetura-orientada-a-microsservicos,,,estudo-de-caso-arquitetura-orientada-a-microsservicos,1,1,1a-passada,unidade-01-arquitetura-de-software,1,0.000,codigo-professor,zip
ES2,devops,conceito-de-devops,gerenciamento-da-configuracao,integracao-continua-ci,gerenciamento-da-configuracao,1,0,rotulo-decomposto,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,1,0.307,material-de-aula,pdf
ES2,kubernetes,plataformas-de-devops,,,plataformas-de-devops,1,1,1a-passada,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,-1,0.000,material-de-aula,pdf
ES2,microsservicos2,estudo-de-caso-arquitetura-orientada-a-microsservicos,,arquitetura-serverless,orientada-a-microsservicos,0,0,1a-passada,unidade-01-arquitetura-de-software,1,0.773,material-de-aula,pdf
ES2,microsservicos3,estudo-de-caso-arquitetura-orientada-a-microsservicos,,arquitetura-serverless,estilos-e-padroes-arquiteturais,0,0,1a-passada,unidade-01-arquitetura-de-software,1,0.167,material-de-aula,pdf
ES2,roteiro2-nameserver,estudo-de-caso-arquitetura-orientada-a-microsservicos,,cliente-servidor,estudo-de-caso-arquitetura-orientada-a-microsservicos,1,0,1a-passada,unidade-01-arquitetura-de-software,1,0.309,material-de-aula,pdf
ES2,roteiro2,estudo-de-caso-arquitetura-orientada-a-microsservicos,,,estudo-de-caso-arquitetura-orientada-a-microsservicos,1,1,1a-passada,unidade-01-arquitetura-de-software,1,0.000,codigo-professor,zip
ES2,microsservicos6,estudo-de-caso-integracao-e-implantacao-de-microsservicos,,gerenciamento-da-configuracao,estudo-de-caso-integracao-e-implantacao-de-microsservicos,1,1,1a-passada,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,1,1.000,material-de-aula,pdf
ES2,roteiro8-autenticacao-autorizacao,estudo-de-caso-integracao-e-implantacao-de-microsservicos,,gerenciamento-da-configuracao,estudo-de-caso-integracao-e-implantacao-de-microsservicos,1,1,1a-passada,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,1,1.000,material-de-aula,pdf
TCC,aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,,,conjuntos-enumeraveis,maquinas-de-turing,0,0,propagado-headings,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,-1,0.992,material-de-aula,pdf
TCC,aula-09-variacoes-de-maquinas-de-turing,variacoes-de-maquinas-de-turing,,maquinas-de-turing,variacoes-de-maquinas-de-turing,1,1,propagado-headings,unidade-02-turing-computabilidade,1,0.062,material-de-aula,pdf
TCC,aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis-pdf,linguagens-reconheciveis-e-decidiveis,maquinas-de-turing-universais,maquinas-de-turing,linguagens-reconheciveis-e-decidiveis,1,0,propagado-headings,unidade-02-turing-computabilidade,1,0.436,material-de-aula,pdf
CG,atividade,conceito-de-camera-sintetica,projecoes,sistema-de-coordenadas-cartesianas,conceito-de-camera-sintetica,1,1,1a-passada,unidade-04-processo-de-visualizacao-2d,0,0.840,outros,html
CG,opengl3d,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,perspectiva,conceito-de-camera-sintetica,1,1,1a-passada,unidade-06-processo-de-visualizacao-3d,1,0.579,outros,html
CG,opengl3dcpp-vdi,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,algoritmo-z-buffer,paralela,0,1,1a-passada,unidade-06-processo-de-visualizacao-3d,1,0.138,codigo-professor,zip
CG,opengl3dcpp,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,algoritmo-z-buffer,paralela,0,1,1a-passada,unidade-06-processo-de-visualizacao-3d,1,0.138,codigo-professor,zip
CG,vis3d,projecoes,paralela;perspectiva;conceito-de-camera-sintetica;a-matematica-das-projecoes-planares,,paralela,1,1,1a-passada,unidade-06-processo-de-visualizacao-3d,1,0.000,outros,html
CG,basico3d-cpp,tecnicas-de-modelagem-3d,varredura;bezier-e-algoritmo-de-casteljau,operacoes-com-vetores,bezier-e-algoritmo-de-casteljau,1,1,propagado-headings,unidade-02-fundamentos-matematicos,0,0.737,codigo-professor,zip
CG,basico3d-py-zip,tecnicas-de-modelagem-3d,varredura,operacoes-com-vetores,tecnicas-de-modelagem-3d,1,1,propagado-headings,unidade-02-fundamentos-matematicos,0,1.000,codigo-professor,zip
CG,programabasico3d,modelos-de-reflexao-ambiente-difusa-especular,modelos-de-iluminacao-luz-pontual-direcional-spot;projecoes,metodos-de-sombreamento-flat-gouraud-phong,metodos-de-sombreamento-flat-gouraud-phong,0,1,rotulo-decomposto,unidade-08-sintese-de-imagens-realisticas,1,0.666,codigo-professor,code
CG,exercicio-com-animacao,operacoes-com-vetores,entidades-geometricas,algoritmos-de-poligonos,,0,1,1a-passada,unidade-02-fundamentos-matematicos,1,1.000,listas,html
CG,matematica,operacoes-com-vetores,entidades-geometricas,,entidades-geometricas,1,1,1a-passada,unidade-02-fundamentos-matematicos,1,0.000,codigo-professor,code
CG,animacao-v2,,,desenho-de-linhas,desenho-de-linhas,0,1,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.920,codigo-professor,zip
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d,sistema-de-coordenadas-cartesianas,,desenho-de-linhas,desenho-de-linhas,0,0,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.887,listas,html
CG,instanciamento,,,sistema-de-coordenadas-cartesianas,2d-3d-mao-direita-e-mao-esquerda,0,1,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.843,outros,pdf
CG,mapeamento,sistema-de-coordenadas-cartesianas,,recorte,sistema-de-coordenadas-cartesianas,1,1,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.813,outros,pdf
CG,pagina-com-videos-sobre-instanciamento,,,desenho-de-linhas,desenho-de-linhas,0,0,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.986,outros,html
CG,transformacoesgeometricas,,,desenho-de-linhas,desenho-de-linhas,0,1,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.862,codigo-professor,zip
CG,transformacoesgl,,,sistema-de-coordenadas-cartesianas,sistema-de-coordenadas-cartesianas,0,1,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.840,outros,html
CG,floodfill,segmentacao,,cores-e-tipos-de-imagens,segmentacao,1,1,1a-passada,unidade-03-processamento-de-imagens-e-visao-computacional,1,1.000,listas,html
CG,remocaoderuido,filtros,,cores-e-tipos-de-imagens,filtros,1,1,1a-passada,unidade-03-processamento-de-imagens-e-visao-computacional,1,1.000,listas,html
CG,exercicios-sobre-curvas-html,catmull-rom,representacao-de-curvas-parametricas;bezier-e-algoritmo-de-casteljau,,bezier-e-algoritmo-de-casteljau,1,1,1a-passada,unidade-02-fundamentos-matematicos,0,0.000,listas,html
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d-html,sistema-de-coordenadas-cartesianas,,desenho-de-linhas,desenho-de-linhas,0,1,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.887,listas,html
CG,pagina-com-videos-sobre-fundamentos-matematicos-para-computacao-grafica-d1d4a9,entidades-geometricas,operacoes-com-vetores,algoritmos-de-poligonos,algoritmos-de-poligonos,0,0,1a-passada,unidade-02-fundamentos-matematicos,1,0.722,references,html
CG,videos-sobre-algoritmos-de-detecao-de-colisao-bd7d84,algoritmos-de-deteccao-e-calculo-de-interseccao,,,algoritmos-de-deteccao-e-calculo-de-interseccao,1,0,1a-passada,unidade-02-fundamentos-matematicos,1,0.000,references,html
CG,pagina-com-videos-sobre-mapeamento-9f410e,sistema-de-coordenadas-cartesianas,,,,0,1,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.000,references,html
CG,video-sobre-mapeamento-em-opengl-1dad3c,sistema-de-coordenadas-cartesianas,,,2d-3d-mao-direita-e-mao-esquerda,0,1,1a-passada,unidade-04-processo-de-visualizacao-2d,1,0.000,references,url
CG,video-sobre-prechimento-de-areas-duracao-330-defae7,segmentacao,,areas-relacionadas,segmentacao,1,1,1a-passada,unidade-01-introducao-ao-processamento-grafico,0,1.000,references,url
CG,video-sobre-prechimento-de-areas-duracao-1300-d87e5f,segmentacao,,cores-e-tipos-de-imagens,segmentacao,1,0,1a-passada,unidade-03-processamento-de-imagens-e-visao-computacional,1,1.000,references,url
CG,paginas-com-videos-sobre-modelagem-geometrica-f2614a,tecnicas-de-modelagem-3d,formas-de-representacao,geometria-solida-construtiva-csg,geometria-solida-construtiva-csg,0,0,rotulo-decomposto,unidade-07-representacao-e-modelagem-de-objetos,1,0.326,references,html
CG,pagina-com-videos-sobre-visualizacao-3d-35a833,pipeline-de-visualizacao-3d,projecoes;conceito-de-camera-sintetica,,paralela,0,1,1a-passada,unidade-06-processo-de-visualizacao-3d,1,0.000,references,html
FR,01-protocolos-de-rede,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,conceitos-de-redes-de-computadores-e-internet,modelos-osi-e-tcpip,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,1,0,1a-passada,unidade-01-introducao-a-redes-de-computadores,-1,1.000,material-de-aula,pdf
FR,unidade1-exercicios,modelos-osi-e-tcpip,conceitos-de-redes-de-computadores-e-internet;conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,,modelos-osi-e-tcpip,1,1,1a-passada,unidade-01-introducao-a-redes-de-computadores,-1,0.000,listas,pdf
FR,04-camada-de-aplicacao,funcoes-e-caracteristicas-do-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,paradigmas-clienteservidor-e-p2p,1,0,rotulo-decomposto,unidade-02-nivel-de-aplicacao,-1,0.673,material-de-aula,pdf
FR,04-protocolo-http,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,,paradigmas-clienteservidor-e-p2p,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,1,0,propagado-headings,unidade-02-nivel-de-aplicacao,-1,0.721,material-de-aula,pdf
FR,05-protocolo-dns,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat,,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat,1,0,rotulo-decomposto,unidade-02-nivel-de-aplicacao,-1,0.800,material-de-aula,pdf
FR,unidade2-exercicios-http,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,,paradigmas-clienteservidor-e-p2p,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,1,0,propagado-headings,unidade-02-nivel-de-aplicacao,-1,0.713,listas,pdf
FR,08-desenvolvimento-de-aplicacoes,implementacao-de-sockets,paradigmas-clienteservidor-e-p2p,,implementacao-de-sockets,1,1,1a-passada,unidade-02-nivel-de-aplicacao,-1,0.000,material-de-aula,pdf
FR,udp-example-c,implementacao-de-sockets,protocolo-udp,paradigmas-clienteservidor-e-p2p,implementacao-de-sockets,1,1,1a-passada,unidade-02-nivel-de-aplicacao,-1,0.981,codigo-professor,zip
FR,udp-example-java,implementacao-de-sockets,protocolo-udp,paradigmas-clienteservidor-e-p2p,implementacao-de-sockets,1,1,1a-passada,unidade-02-nivel-de-aplicacao,-1,0.981,codigo-professor,zip
FR,tcp-chat-c,implementacao-de-sockets,protocolo-tcp,paradigmas-clienteservidor-e-p2p,implementacao-de-sockets,1,1,1a-passada,unidade-02-nivel-de-aplicacao,-1,0.981,codigo-professor,zip
FR,tcp-example,implementacao-de-sockets,protocolo-tcp,paradigmas-clienteservidor-e-p2p,implementacao-de-sockets,1,1,1a-passada,unidade-02-nivel-de-aplicacao,-1,0.981,codigo-professor,zip
