curso,entry_id,gold,classe_diagnostico,classe_final,derrubado,expressao,fora_do_bundle,confianca,justificativa,motivo_refutador
IA,rede-perceptron-classificacao-planta-iris,modelos-preditivos,B,B,0,Rede Perceptron - Classificacao - Planta Iris,0,alta,"Expressão de domínio (""Rede Perceptron"") presente no bundle e pertencente a Modelos Preditivos por conhecimento de área.","'Rede Perceptron - Classificacao - Planta Iris' literal; resto e 'Celula N — Codigo'. Gold 0.000, irmao 0,11. Medido: 26,3 e vence."
IA,rede-perceptron-exemplo-atualizado,modelos-preditivos,B,B,0,**Rede Perceptron**,0,alta,"O heading em markdown nomeia o algoritmo preditivo; nada no bundle nomeia o rótulo do gold, então é lacuna de relação.","'**Rede Perceptron**' e heading markdown literal. Gold 0.000 hoje (irmao 1,04). Medido: 26,3 e vence."
IA,rede-perceptron-or-em-python,modelos-preditivos,B,B,0,Rede Perceptron - OR em Python,0,alta,"Bundle magro mas com ""Rede Perceptron"" literal três vezes — e a confiança 1.000 do cru em ""introducao"" sobre um bundle sem nenhum token de ""aprendizado"" indica fallback, não competição.","'Rede Perceptron' literal 3x (titulo, label, heading). A alegacao de fallback confere: hoje TODOS os topicos pontuam 0,00 no scorer e quem decidiu foi a rota propagado-headings com conf 1.000. Medido: 26,1 e vence."
IA,rede-perceptron-reconhecendo-letras,modelos-preditivos,B,B,0,Rede Perceptron - Reconhecendo Letras,0,alta,"Mesma assinatura: nome do algoritmo preditivo no título/label, resto ""Célula N — Código"".","'Rede Perceptron - Reconhecendo Letras' literal no titulo/label/heading, resto 'Celula N — Codigo'. Todos os topicos em 0,00 hoje. Medido: 26,3 e vence."
IA,exercicio-2-solucao-com-rede-perceptron-atualizado,modelos-preditivos,B,B,0,Exercicio 2 - Solução com rede Perceptron (atualizado),0,alta,"Descontado o boilerplate ""Exercicio 2"", sobra ""rede Perceptron"" e ""Pesos da rede"", ambos termos de modelo preditivo.","Descontado 'Exercicio 2', sobra 'rede Perceptron' literal no titulo e 'Pesos da rede' nos headings. Todos os topicos 0,00 hoje. Medido: 26,1 e vence."
IA,mlp,modelos-preditivos,B,B,0,**Rede neural MultiLayer Perceptron (MLP)**,0,alta,MLP escrito por extenso no heading é modelo preditivo; o bundle inteiro fala de topologia de rede e mesmo assim o cru caiu no irmão genérico.,"'**Rede neural MultiLayer Perceptron (MLP)**' literal no heading e o bundle inteiro e topologia de rede. Gold hoje 0,11 — migalha do token generico 'modelos' vindo do corpo, nao da expressao alegada, entao nao e C. Medido: 30,3 e vence."
IA,mlp-xoripynb,modelos-preditivos,B,D,1,MLP - XOR.ipynb,0,media,"""MLP"" é sigla de domínio, mas aqui vem dentro de um nome de arquivo (regra 4) e o resto do bundle é ""Célula N — Código"" — é B pelo termo, com o bundle mais fraco dos 34 e o produto também errando (decide vazio).","Derrubada na verificacao 4 (conteudo insuficiente): o bundle inteiro e nome de arquivo ('MLP - XOR.ipynb') + 5 'Celula N — Codigo'. O unico termo de dominio e a sigla 'MLP', 3 caracteres — achei no scorer que signal_token_set corta token <4 e que short_vocab e construido SO dos labels do curso, entao um alias 'MLP' adquirido pontua 0,00. Medido: gold 0,1 contra irmao 0,1, empate exato que devolve slug vazio. So viraria decorando o titulo do arquivo como alias, que e a circularidade que ja polui o irmao."
IA,mlp-classificacao-iris-atualizado,modelos-preditivos,B,B,0,**Aula 09 - Redes Neurais: MultiLayer Perceptron (MLP)**,0,alta,"Descontado ""Aula 09"", sobra ""Redes Neurais: MultiLayer Perceptron"", expressão de domínio que pertence a Modelos Preditivos.","'**Aula 09 - Redes Neurais: MultiLayer Perceptron (MLP)**' literal no heading; descontado 'Aula 09' sobra expressao de dominio pura. Gold 0.000 hoje (irmao 1,04). Medido: 22,4 e vence."
IA,mlp-regressao-cardio,modelos-preditivos,B,B,0,Criar o modelo MLP para regressão,0,alta,"MLP para regressão e ""Pesos (coefs_) e bias (intercepts_)"" são termos de modelo preditivo; ""modelo"" sozinho é genérico demais para ter pontuado o gold, então é relação ausente e não competição.","'Criar o modelo MLP para regressao' e heading literal e e modelo preditivo explicito. Verificacao 3 confere: gold 0.000 com zero overlap — 'modelo' nao casa 'modelos'. Medido com ressalva: vocabulario so de siglas NAO entrega (gold 0,1 x irmao 0,91, porque 'MLP' tem 3 chars e nao pontua); com 'regressao' ou com a frase alegada adquirida o gold vence (11,9 / 25,9). Sobrevive dependendo da FRASE, nao da sigla."
IA,rede-perceptron-e-equacao-de-reta,modelos-preditivos,B,B,0,Rede Perceptron e Equação de Reta,0,alta,"Perceptron no título e ""Fórmula do Neurônio""/""Estrutura Básica de um Neurônio"" nos headings sustentam a ligação com Modelos Preditivos.","'Rede Perceptron e Equacao de Reta' no titulo/label e 'Formula do Neuronio'/'Estrutura Basica de um Neuronio' nos headings — perceptron e neuronio sao modelo preditivo. Gold 0.000 (irmao 0,91). Medido: 23,7 e vence."
IA,xor-backpropagation-em-python,modelos-preditivos,B,B,0,MLP - Algoritmo Backpropagation,0,alta,"Backpropagation, sigmoide e ReLU são o treinamento de uma MLP, isto é, de um modelo preditivo, e estão literais no bundle.","'MLP - Algoritmo Backpropagation' literal no heading, mais sigmoide e ReLU — treinamento de MLP, isto e, de modelo preditivo. Gold 0.000 (irmao 0,11). Medido: 19,4 e vence."
IA,mlp-classificacao-inadimplencia-normalizacao-e-gridsearchcv,modelos-preditivos,B,B,0,**Redes Neurais: MultiLayer Perceptron (MLP)**,0,alta,"MLP por extenso no heading; ""GridSearchCV"" reforça o extra de métricas, mas o primário é o modelo preditivo que o motor não reconhece.","'**Redes Neurais: MultiLayer Perceptron (MLP)**' literal no heading. Gold 0.000 hoje (irmao 0,91). Medido: 22,2 e vence; o extra metricas-de-avaliacao nao disputa o primario."
IA,como-analisar-resultados-acc-pr-re-e-f1,metricas-de-avaliacao,C,C,0,,0,alta,"O heading ""Aula 29 - Aprendizagem de Máquina: Medidas de Avaliação"" nomeia o gold quase literalmente (compartilha o token distintivo ""Avaliação"") e ainda assim perdeu — e o mesmo heading alimenta o vencedor com ""Aprendizagem de Máquina"": é ordenação, não aquisição.",
IA,arvores-de-decisao,modelos-preditivos,B,B,0,Classificação & Regressão com Árvores de Decisão,0,alta,"Árvore de decisão é modelo preditivo e está literal; o que pontua no bundle é ""Aprendizado Supervisionado"", que puxa para o irmão.","'Classificacao & Regressao com Arvores de Decisao' e heading literal; arvore de decisao e modelo preditivo. Gold hoje 0,11 (migalha do token 'modelos' do corpo, nao da expressao alegada) contra irmao 18,30, que so e tao alto porque 'Aprendizado Supervisionado Parte 2' — heading DESTE material — virou alias dele. Medido: 19,4 e vence."
IA,exemplo-1-arvores-de-decisao-classificacao-planta-iris,modelos-preditivos,B,B,0,indução do modelo de classificação por árvore de decisão,0,alta,"""árvore de decisão"" é o algoritmo preditivo; ""Machine Learning I"" e ""Escrito por Duncan Ruiz"" são boilerplate/autor e não contam.","'inducao do modelo de classificacao por arvore de decisao' literal no heading. Gold 0.000 com zero overlap; irmao 15,95 via aliases colhidos ('Aprendizado Supervisionado', 'machine learning'). Medido: 18,9 e vence."
IA,exemplo-2-arvores-de-decisao-regressao-diabetes,modelos-preditivos,B,B,0,Exemplo 2 - Arvores de Decisão - Regressão - Diabetes,0,alta,"Árvore de decisão para regressão é modelagem preditiva explícita no bundle, sem nenhum token do rótulo do gold para o scorer usar.","'Exemplo 2 - Arvores de Decisao - Regressao - Diabetes' literal no titulo/label/heading. Gold 0.000; irmao 15,95 pelos mesmos aliases colhidos. Medido: 18,9 e vence."
IA,aula-sobre-agrupamento-parte-1-particional,modelos-descritivos,B,B,0,Exemplos de Agrupamento Particional,0,alta,"Agrupamento particional é a técnica canônica de modelo descritivo e aparece a dezenas de vezes; ""Aprendizado Não Supervisionado"" empurra para o extra (paradigmas), não para o primário.","'Exemplos de Agrupamento Particional' literal no ultimo heading e 'Agrupamento' 10x. Agrupamento particional e a tecnica canonica de modelo descritivo. Gold 0.000 contra irmao 16,62 (alias 'Aprendizado Nao Supervisionado'). Medido: 27,6 e vence."
IA,agrupamento-usando-k-means-exemplo-1-ipynb,modelos-descritivos,B,B,0,agrupamento usando k-Means: exemplo 1 (.ipynb),0,alta,"k-Means é algoritmo de agrupamento, logo modelo descritivo, e está literal no título/label.","'agrupamento usando k-Means: exemplo 1 (.ipynb)' literal no titulo/label/heading; k-Means e agrupamento, logo modelo descritivo. Gold 0.000 (irmao 5,18). Medido: 26,0 e vence."
IA,agrupamento-usando-k-means-exemplo-2-ipynb,modelos-descritivos,B,B,0,**Aula 02 - Aprendizado não Supervisionado: agrupamento com k-Means**,0,alta,"""agrupamento com k-Means"" é expressão de domínio de Modelos Descritivos; o motor só enxerga ""Aprendizado não Supervisionado"" e vai para o irmão.","'**Aula 02 - Aprendizado nao Supervisionado: agrupamento com k-Means**' literal no heading — e achei que essa MESMA frase e alias do IRMAO (colhida deste material), o que explica os 15,95 dele. Mas ela nao esta no rotulo nem no alias do GOLD (0.000, zero overlap), entao nao e C. Medido: com 'agrupamento' e 'k-Means' adquiridos gold 26,0 e vence."
IA,artigo-usando-agrupamento,modelos-descritivos,B,D,1,Artigo usando agrupamento,0,media,"Só o título/label carrega ""agrupamento"" — os headings são boilerplate de artigo (ABSTRACT, REFERÊNCIAS) — e a categoria é bibliografia, o que deixa a aquisição dependente de um único token.","Derrubada na verificacao 4: categoria 'bibliografia', headings sao boilerplate de artigo (ABSTRACT, RESUMO, REFERENCIAS) e a evidencia inteira e o token 'agrupamento' do titulo/label. Sai do alvo por regra, ainda que medido a aquisicao virasse (gold 12,6 e venceria)."
IA,survey-on-clustering,modelos-descritivos,B,B,0,A Comprehensive Survey of Clustering Algorithms,0,alta,"O bundle lista 20 famílias de algoritmos de clustering; clustering é modelo descritivo, e nada no bundle casa com o rótulo em português do gold.","'A Comprehensive Survey of Clustering Algorithms' literal no heading, mais 20 familias de clustering; clustering e modelo descritivo. Gold 0.000 e nada no bundle casa o rotulo em portugues. Medido: 16,2 e vence. Ressalva anotada: e paper de survey, mas a categoria do curso e 'material-de-aula', nao 'bibliografia' — por isso a verificacao 4 nao dispara."
IA,aula-sobre-agrupamento-parte-2-hierarquico,modelos-descritivos,B,B,0,Agrupamento Hierárquico,0,alta,"""Agrupamento Hierárquico"" aparece doze vezes e ainda assim nem o cru nem o produto acertam — evidência forte de que a relação agrupamento→descritivos simplesmente não existe no motor.","'Agrupamento Hierarquico' aparece 12x nos headings. Gold 0.000 hoje contra irmao 16,44 (alias 'Aprendizado Nao Supervisionado') — confirma que a relacao agrupamento->descritivos simplesmente nao existe no motor. Medido: 23,5 e vence."
IA,agrupamento-hierarquico-exemplo-1,modelos-descritivos,B,B,0,**Aprendizado não Supervisionado: Agrupamento Hierárquico**,0,alta,"Agrupamento hierárquico é técnica de modelo descritivo, literal no heading.","'**Aprendizado nao Supervisionado: Agrupamento Hierarquico**' literal no heading — frase que hoje e alias do IRMAO (16,13), nao do gold (0.000). Medido: com o vocabulario de agrupamento adquirido gold 29,7 e vence."
IA,agrupamento-hierarquico-exemplo-2-use-o-dataset-da-planta-iris,modelos-descritivos,B,B,0,**Aprendizado não Supervisionado: Agrupamento Hierárquico -Exemplo 2**,0,alta,"Mesma expressão de domínio do exemplo 1; o bundle não contém nenhum termo que pontue ""Modelos Descritivos"" no scorer atual.","'**Aprendizado nao Supervisionado: Agrupamento Hierarquico -Exemplo 2**' literal no heading; o irmao faz 22,94 porque essa frase exata e alias dele. Gold 0.000 hoje, zero overlap. Medido: 29,7 e vence."
CG,atividade,conceito-de-camera-sintetica,D,D,0,,1,alta,"Bundle sem conteudo (titulo generico 'atividade', label 'Atividade', headings so o eco); a evidencia real ('coordenadas do Observador', 'coordenadas do Alvo') esta so no corpo de 295 chars, invisivel para o adquiridor.",
CG,opengl3d,conceito-de-camera-sintetica,C,C,0,,0,alta,"O heading do proprio bundle diz 'Posicionando do Observador(Camera Sintetica)' — o gold esta nomeado literalmente e mesmo assim perdeu para 'perspectiva', irmao na unidade 06 (texto do motor: observador x12, perspect x7).",
CG,opengl3dcpp-vdi,conceito-de-camera-sintetica,A,A,0,,1,alta,"Bundle e so lista de nomes de arquivo (regra 4) e o texto que o motor viu (resumo de codigo, 1987 chars) tem bezier x10 e zero termo de camera; gluLookAt/Observador existem nos .cpp do zip, fora do bundle e fora do resumo.",
CG,opengl3dcpp,conceito-de-camera-sintetica,A,A,0,,1,alta,"Identico ao VDI: bundle = 24 nomes de arquivo, resumo de codigo sem nenhum termo de camera/projecao; a evidencia (gluLookAt em opengl3dcpp-programabasico3d-cpp.cpp) so existe dentro do fonte.",
CG,vis3d,projecoes,C,C,0,,0,alta,"Tres headings do bundle sao 'PROJECOES', 'PROJECAO PARALELA ORTOGRAFICA' e 'PROJECAO PERSPECTIVA' e o texto tem projec x43 — o cru saiu vazio (0.000) por ambiguidade entre 6.3/6.3.1/6.3.2, ordenacao e nao vocabulario.",
CG,basico3d-cpp,tecnicas-de-modelagem-3d,A,A,0,,1,alta,"No bundle so ha nomes de arquivo e o unico termo de dominio ('Bezier' x10) aponta para 7.1.1.1, nao para 7.2; 'ProgramaDeModelagem3D.cpp' existe no zip mas e o arquivo 26 de 43 e o bundle corta em 24 headings.",
CG,basico3d-py-zip,tecnicas-de-modelagem-3d,C,C,0,,0,media,"O bundle ja traz 'ProgramaDeModelagem3D.py' e o resumo de codigo que o motor pontuou contem 'Modelagem' — o erro veio da unidade (02 em vez de 07), que restringe o leque de subtopicos, nao de vocabulario faltante.",
CG,programabasico3d,modelos-de-reflexao-ambiente-difusa-especular,C,C,0,,1,alta,"O texto que o motor pontuou (12885 chars) tem 'ambient' x7, 'especular' x4, 'difusa' x2, 'diffuse' x2 — o rotulo do gold inteiro — e perdeu para sombreamento (flat x1, smooth x1, zero gouraud/phong); o bundle e so o nome do .cpp.",
CG,exercicio-com-animacao,operacoes-com-vetores,A,A,0,,0,alta,"Nem o bundle ('Exercicio com Animacao' e boilerplate pela regra 4) nem o corpo (539 chars: triangulo x2, poligon x1, direcao x1) tem qualquer expressao de operacao vetorial; o unico termo de dominio aponta para poligonos, que foi o que o cru escolheu.",
CG,matematica,operacoes-com-vetores,B,A,1,Produto Escalar,0,alta,"O label do Moodle e literalmente 'Produto Escalar', que E uma operacao com vetores por definicao, e o termo nao aparece em lugar nenhum do texto que o motor pontua (o .cpp so tem a classe Vetor), entao a relacao termo->topico e exatamente o que falta.","Falha a verificacao 1 na substancia: 'Produto Escalar' esta no bundle SO como LABEL MOODLE, e o scorer de subunidade nao le esse campo — _score_entry_against_taxonomy_topic (src/builder/timeline/index.py:1797) pontua headings/titulo/lead/manual_tags/markdown/auto_tags/legacy_tags/raw_target e NAO moodle_label_text. Medido: com o alias 'Produto Escalar' em 2.2 o gold continua 0.000 e a unidade inteira fica 0.00 — o material segue vazio, a aquisicao nao entrega nada. O texto que o motor pontua (o .cpp integral) nao tem 'produto', nem 'escalar', nem 'vetores'; tem `class Vetor` no singular, e 'Vetor' nao aparece no bundle (alias 'Vetor' daria 3.448 e venceria, mas o adquiridor nao ve o corpo do arquivo). Nao ha o que adquirir DESTE bundle: a alavanca e plumbing (pontuar o label ou o corpo), nao vocabulario."
CG,animacao-v2,(vazio),D,D,0,,0,alta,"Gold primario vazio: qualquer subunidade atribuida e erro por construcao, fora do alvo da aquisicao.",
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d,sistema-de-coordenadas-cartesianas,A,A,0,,0,media,"O bundle so repete o nome da unidade 04 e o corpo (918 chars) tem window x7, viewport x2, instanciamento x1 — tudo apontando para 5.1/5.2; ligar isso a 'Sistema de Coordenadas Cartesianas' exige esticar (regra 3).",
CG,instanciamento,(vazio),D,D,0,,0,alta,"Gold primario vazio; o material tem conteudo farto (instanc x49, transforma x28) mas nao ha alvo a acertar.",
CG,mapeamento,sistema-de-coordenadas-cartesianas,C,C,0,,1,alta,"O corpo pontuado diz 'sistema de coordenadas' e 'regiao do plano cartesiano' (coordenada x6, cartesian x1) e perdeu para 'recorte', que aparece UMA vez e de passagem ('apos o processo de Instanciamento e de Recorte') — competicao pura.",
CG,pagina-com-videos-sobre-instanciamento,(vazio),D,D,0,,0,alta,Gold primario vazio.,
CG,transformacoesgeometricas,(vazio),D,D,0,,0,alta,Gold primario vazio.,
CG,transformacoesgl,(vazio),D,D,0,,0,alta,Gold primario vazio.,
CG,exercicios-sobre-curvas,catmull-rom,C,C,0,,1,alta,"O corpo pontuado nomeia 'Catmull-Rom' x1 e perdeu para 'Hermite' x3 — irmao do gold em 7.1.1.x, com confianca 0.132; o termo decisivo existe, so nao esta no bundle (que tem apenas 'Curvas').",
CG,floodfill,segmentacao,B,B,0,FloodFill,0,media,"O titulo do bundle e o nome do algoritmo 'FloodFill' (seed fill = crescimento de regiao, tecnica de segmentacao) e a palavra 'segmenta' nao aparece em nenhum lugar do texto do motor, so 'cor' x2 e 'imagem' x1 — que foi quem venceu; ressalva: mesmo com a relacao adquirida ela ainda teria de bater esse concorrente.","Passa as 4. (1) 'FloodFill' e literalmente o TITULO e o 1o heading do bundle, caractere a caractere. (2) Pertence por dominio sem esticamento: o proprio texto diz 'algoritmo de preenchimento de areas usando um algoritmo de flood fill (seed fill)', e seed fill = crescimento de regiao = tecnica de segmentacao; card do professor 'Manipulacao de Imagens', unidade 03. (3) O sinal do gold realmente nao existe: raiz 'segment' 0 vez e 'regiao' 0 vez no texto pontuado, gold=0.000, e stem_fallback=True nao muda nada (cores-e-tipos segue 0.14) — nenhum conserto de normalizacao salva este. (4) Gold cheio, lista de exercicio com conteudo real. A ressalva do diagnostico esta REFUTADA: com o alias 'FloodFill' o gold vai a 7.874 contra 0.14 do concorrente cores-e-tipos-de-imagens (56x); 'Flood Fill' da 7.654 e 'preenchimento de area' da 4.538. O veto que filtraria o termo por ser nome de arquivo saiu do filter_terms em 11/09."
CG,remocaoderuido,filtros,C,C,0,,1,media,"O texto que o motor pontua ja diz 'Filtro da Mediana' (filtro x1, mediana x6) — a palavra do rotulo do gold — e mesmo assim perdeu para 'cores-e-tipos-de-imagens' (imagem x4, cor x1) com confianca 1.000; o problema e peso/ordenacao, nao o termo.",
CG,exercicios-sobre-curvas-html,catmull-rom,C,C,0,,1,alta,"Mesmo texto do gemeo (catmull x1, hermite x3): o cru saiu vazio porque a UNIDADE caiu em 02, onde nenhum topico de curva existe — o gemeo com unidade 07 chegou a Hermite com o mesmo vocabulario, o que prova que nao falta termo.",
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d-html,sistema-de-coordenadas-cartesianas,A,A,0,,0,media,"Duplicata exata do anterior: bundle = nome da unidade 04, corpo com window/viewport/instanciamento e zero mencao a coordenadas cartesianas.",
CG,pagina-com-videos-sobre-fundamentos-matematicos-para-computacao-grafica-d1d4a9,entidades-geometricas,C,C,0,,1,media,"Pagina-indice da unidade inteira: o corpo pontuado tem Ponto x4 e Reta x1 (as entidades do gold) mas Poligon x5 venceu e levou a 'algoritmos-de-poligonos', irmao do gold na unidade 02; o bundle so tem o nome da unidade.",
CG,videos-sobre-algoritmos-de-detecao-de-colisao-bd7d84,algoritmos-de-deteccao-e-calculo-de-interseccao,B,C,1,Vídeos sobre Algoritmos de Deteção de Colisão,0,media,"Deteccao de colisao E teste de interseccao por conhecimento de dominio, e a raiz 'intersec' nao aparece nenhuma vez no texto do motor (colis x2, envelope x8, hull x6) — falta a relacao; ressalva: parte do buraco pode ser normalizacao ('Deteção' sem c) e 'Convex Hull' puxa para 2.5.","Falha a verificacao 3: parte da expressao JA e o rotulo do gold — 'deteccao' esta em 'Algoritmos de deteccao e calculo de interseccao' e o titulo do material escreve a mesma palavra na ortografia lusitana ('Deteção'). Medido sem nenhuma aquisicao, corrigindo so a ortografia no texto: o gold passa a 0.122 e vence (todos os outros 0.000; rel_margin 1.0 -> confianca 1.0, acima do SUBUNIT_TAG 0.10) — o buraco inteiro para o ACERTO e normalizacao, nao relacao termo->topico. Ressalva honesta: hoje nada pontua (tudo 0.000, nem 'hull' puxa para 2.5), entao nao e competicao literal; e defeito de scorer/ordenacao, que e o balde do C. 'algoritmos' nao ajuda porque esta nos generic_tokens do curso."
CG,pagina-com-videos-sobre-mapeamento-9f410e,sistema-de-coordenadas-cartesianas,A,A,0,,0,media,"Corpo de 191 chars com 'mapeamento' x4 e nada mais; 'mapeamento' pertence a 5.2 (Mapeamento Window e Viewport), nao a 4.1 — chegar ao gold exige esticar o sentido (regra 3).",
CG,video-sobre-mapeamento-em-opengl-1dad3c,sistema-de-coordenadas-cartesianas,A,A,0,,0,media,"Video sem transcricao (397 chars: mapeamento x2, visualizacao x1); o unico termo de dominio aponta para 5.2 e nao ha nenhuma expressao ligavel a coordenadas cartesianas.",
CG,pagina-com-videos-sobre-curvas-parametricas-63d902,representacao-de-curvas-parametricas,C,C,0,,0,alta,"O titulo do bundle e literalmente 'Curvas Parametricas', o rotulo do gold, e mesmo assim o cru foi para 'hermite' (filho do gold) com confianca 0.134 — ordenacao entre pai e filho.",
CG,video-sobre-prechimento-de-areas-duracao-330-defae7,segmentacao,A,A,0,,0,media,"Corpo vazio (boilerplate do YouTube) e o unico termo do bundle e 'Prechimento de Areas' — grafado errado e, sem contexto de imagem, o destino natural seria 4.2.2 Preenchimento de Poligonos, nao Segmentacao (regras 3 e 6).",
CG,video-sobre-prechimento-de-areas-duracao-1300-d87e5f,segmentacao,A,A,0,,1,media,"Mesmo caso do gemeo: no bundle so a grafia errada 'Prechimento de Areas'; o que desambigua ('Assunto: Processamento de Imagens - Preenchimento de Area') esta no corpo, fora do bundle, e mesmo la nao ha 'segmenta'.",
CG,paginas-com-videos-sobre-modelagem-geometrica-f2614a,tecnicas-de-modelagem-3d,C,C,0,,0,alta,"O titulo do bundle ja diz 'Modelagem Geometrica' e o corpo pontuado tem a secao 'TECNICAS DE MODELAGEM' (modelagem x8, tecnicas x2); o cru escolheu CSG, filho do gold, listado na mesma secao — ordenacao pai/filho.",
CG,pagina-com-videos-sobre-visualizacao-3d-35a833,pipeline-de-visualizacao-3d,C,C,0,,0,alta,"O titulo do bundle traz 'Visualizacao 3D' (nucleo do rotulo do gold) e o corpo tem visualizacao 3d x6, projec x11, observador x3; o cru saiu vazio com a unidade 06 certa — excesso de candidatos irmaos, nao falta de termo.",
