curso,arquivo,topico,termo,classe,fonte_declarada,nota
SO,llm,1.2 Chamadas de sistema,SVCs,llm-compilado,,
SO,llm,1.2 Chamadas de sistema,Chamada de Sistema,llm-compilado,,
SO,llm,1.2 Chamadas de sistema,syscalls,llm-compilado,,
SO,llm,1.2 Chamadas de sistema,Chamada de Sistema para Criação de Processos,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Processos,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Recurso Computacional,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Imagem do processo,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Bloco de Controle do Processo,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Inter-process Communication,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Comunicação entre Processos,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Memória Compartilhada,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Pipes,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Tubos,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Multithread,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Troca de Mensagens,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Sincronização,llm-compilado,,
SO,llm,3.1 Conceitos básicos,Exclusão mútua,llm-compilado,,
SO,llm,3.2 Escalonamento,Escalonamento de Processos,llm-compilado,,
SO,llm,3.2 Escalonamento,Troca de Contexto,llm-compilado,,
SO,llm,3.2 Escalonamento,O Escalonador,llm-compilado,,
SO,llm,3.2 Escalonamento,Scheduler,llm-compilado,,
SO,llm,3.2 Escalonamento,Dispatcher,llm-compilado,,
SO,llm,3.2 Escalonamento,Critérios de Alocação,llm-compilado,,
SO,llm,3.2 Escalonamento,Critérios de Otimização,llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,First-Come-First-Served,llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,Shortest Job First,llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,Prioridade,llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,Round-Robin,llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,Múltiplas Filas,llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,Prioridade não-preemptiva,llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,SJF (não preemptivo),llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,nonpreemptive,llm-compilado,,
SO,llm,3.3 Algoritmos de escalonamento,preemptive,llm-compilado,,
SO,llm,4.1 Programas multithreads,multithreading,llm-compilado,,
SO,llm,4.1 Programas multithreads,Processo multithread,llm-compilado,,
SO,llm,4.1 Programas multithreads,Código Java com threads,llm-compilado,,
SO,llm,4.2 Comunicação e sincronização de processos,Sockets,llm-compilado,,
SO,llm,4.2 Comunicação e sincronização de processos,Socket,llm-compilado,,
SO,llm,4.2 Comunicação e sincronização de processos,Programação de sockets,llm-compilado,,
SO,llm,4.2 Comunicação e sincronização de processos,Socket programming,llm-compilado,,
SO,llm,4.2 Comunicação e sincronização de processos,exec,llm-compilado,,
SO,llm,4.2 Comunicação e sincronização de processos,wait,llm-compilado,,
SO,llm,4.2 Comunicação e sincronização de processos,execvp,llm-compilado,,
SO,llm,4.3 Primitivas de sincronização,semáforos,llm-compilado,,
SO,llm,4.4 Problemas clássicos,Ponte de pista única,llm-compilado,,
SO,llm,6.1 Políticas básicas,Princípios Básicos,llm-compilado,,
SO,llm,6.1 Políticas básicas,Mecanismos básicos,llm-compilado,,
SO,llm,6.1 Políticas básicas,Unidade de Gerenciamento de Memória,llm-compilado,,
SO,llm,6.1 Políticas básicas,Amarração de endereços,llm-compilado,,
SO,llm,6.1 Políticas básicas,binding,llm-compilado,,
SO,llm,6.1 Políticas básicas,Endereço lógico,llm-compilado,,
SO,llm,6.1 Políticas básicas,Endereço físico,llm-compilado,,
SO,llm,6.1 Políticas básicas,Código relocável,llm-compilado,,
SO,llm,6.1 Políticas básicas,Código absoluto,llm-compilado,,
SO,llm,6.1 Políticas básicas,Carregador absoluto,llm-compilado,,
SO,llm,6.1 Políticas básicas,carregador relocador,llm-compilado,,
SO,llm,6.2 Memória virtual,Espaço de Endereçamento Virtual,llm-compilado,,
SO,llm,6.2 Memória virtual,Biblioteca Compartilhada,llm-compilado,,
SO,llm,6.2 Memória virtual,Copy-on-Write,llm-compilado,,
SO,llm,6.2 Memória virtual,Localidade,llm-compilado,,
SO,llm,6.2.1 Paginação,Paginação sob Demanda,llm-compilado,,
SO,llm,6.2.1 Paginação,Tamanho da página,llm-compilado,,
SO,llm,6.2.1 Paginação,Tabela de páginas,llm-compilado,,
SO,llm,6.2.1 Paginação,Translation look-aside buffers,llm-compilado,,
SO,llm,6.2.1 Paginação,TLBs,llm-compilado,,
SO,llm,6.2.1 Paginação,Registradores associativos,llm-compilado,,
SO,llm,6.2.1 Paginação,Bit Válido-Inválido,llm-compilado,,
SO,llm,6.2.1 Paginação,Página Ausente,llm-compilado,,
SO,llm,6.2.1 Paginação,Page Fault,llm-compilado,,
SO,llm,6.2.1 Paginação,Paginação Excessiva,llm-compilado,,
SO,llm,6.2.1 Paginação,Thrashing,llm-compilado,,
SO,llm,6.2.1 Paginação,Substituição de Páginas,llm-compilado,,
SO,llm,6.2.2 Segmentação,Tabela de segmentos,llm-compilado,,
SO,llm,6.2.2 Segmentação,Fragmentação externa,llm-compilado,,
SO,llm,6.2.2 Segmentação,Segmentação com paginação,llm-compilado,,
SO,llm,7.1 Arquivos,Gerência de Arquivos,llm-compilado,,
SO,llm,7.1 Arquivos,Tipos de Arquivos,llm-compilado,,
SO,llm,7.1 Arquivos,Operações sobre Arquivos,llm-compilado,,
SO,llm,7.1 Arquivos,Sistemas de Armazenamento em Massa,llm-compilado,,
SO,llm,7.1 Arquivos,Unidades de Armazenamento Secundário,llm-compilado,,
SO,llm,7.2 Diretórios,Estrutura de diretórios Hierárquicos,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,Implementação de Arquivos,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,Alocação Contígua,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,Esquema do Sistema de Arquivos,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,Discos Magnéticos,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,Disco Mecânico,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,Estrutura Interna do Disco Mecânico,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,Escalonamento de Requisições,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,SSTF,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,SCAN,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,C-SCAN,llm-compilado,,
SO,llm,7.3 Implementação de sistemas de arquivos,C-LOOK,llm-compilado,,
IA,manual/cru,Algoritmos de Busca com Informação,aluna,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,barabstract,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,braid,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,capitulo,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,cargas,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,chiara,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,crosseovers,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,crossover,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,demo,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,geneticas,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,geneticos,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,implementacaominimax,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,lacerda,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,luca,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,nrainhas,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,operadores,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,programas,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,rectangleinteligencia,auto-professor,secao,
IA,manual/cru,Algoritmos de Busca com Informação,ribbons,auto-professor,secao,
IA,manual/cru,Introdução ao aprendizado de máquina,exploratoria,auto-professor,secao,
IA,manual/cru,Introdução ao aprendizado de máquina,java,auto-professor,secao,
IA,llm,Conceituação,Inteligência Artificial,llm-compilado,,
IA,llm,Conceituação,Inteligência Adaptativa,llm-compilado,,
IA,llm,Conceituação,modelos de IA,llm-compilado,,
IA,llm,Subáreas e disciplinas afins,IA generativa,llm-compilado,,
IA,llm,Subáreas e disciplinas afins,generative,llm-compilado,,
IA,llm,Subáreas e disciplinas afins,ChatGPT,llm-compilado,,
IA,llm,Subáreas e disciplinas afins,Copilot,llm-compilado,,
IA,llm,Questões filosóficas de IA,IA Responsável,llm-compilado,,
IA,llm,Introdução a agentes em ambientes determinísticos,Agentes e Algoritmos de Busca,llm-compilado,,
IA,llm,Representação de problemas,Estados de mundo,llm-compilado,,
IA,llm,Representação de problemas,Estado de Mundo,llm-compilado,,
IA,llm,Representação de problemas,Espaço de Busca,llm-compilado,,
IA,llm,Busca informada (heurística),Algoritmos de Busca Informada,llm-compilado,,
IA,llm,Busca informada (heurística),Busca Informada,llm-compilado,,
IA,llm,Algoritmos de Busca com Informação,Algoritmo Hill-Climbing,llm-compilado,,
IA,llm,Algoritmos de Busca com Informação,Hill-Climbing,llm-compilado,,
IA,llm,Algoritmos de Busca com Informação,Algoritmo Simulated Annealing,llm-compilado,,
IA,llm,Algoritmos de Busca com Informação,Simulated Annealing,llm-compilado,,
IA,llm,Algoritmos de Busca com Informação,Busca Local por Refinamentos Sucessivos,llm-compilado,,
IA,llm,Algoritmos de Busca com Informação,Dijkstra,llm-compilado,,
IA,llm,Algoritmos de Busca com Informação,Algoritmo de Dijkstra,llm-compilado,,
IA,llm,Problemas de Otimização,Algoritmos Genéticos,llm-compilado,,
IA,llm,Problemas de Otimização,Algoritmo Genético,llm-compilado,,
IA,llm,Problemas de Otimização,Algoritmo Genético Simples,llm-compilado,,
IA,llm,Problemas de Otimização,Roda da Roleta,llm-compilado,,
IA,llm,Problemas de Otimização,Crossover e Mutação,llm-compilado,,
IA,llm,Problemas de Otimização,Elitismo,llm-compilado,,
IA,llm,Problemas de Otimização,Crossover de N Pontos,llm-compilado,,
IA,llm,Problemas de Otimização,Representação Real,llm-compilado,,
IA,llm,Problemas de Otimização,Representação Binária,llm-compilado,,
IA,llm,Problemas de Otimização,Cálculo da Aptidão,llm-compilado,,
IA,llm,Problemas de Otimização,Seleção,llm-compilado,,
IA,llm,Problemas de Otimização,Operações Genéticas,llm-compilado,,
IA,llm,Problemas de Otimização,Crossover OBX,llm-compilado,,
IA,llm,Problemas de Otimização,Crossover PBX,llm-compilado,,
IA,llm,Problemas de Otimização,Crossover PMX,llm-compilado,,
IA,llm,Problemas de Otimização,Crossover CX,llm-compilado,,
IA,llm,Problemas de Otimização,Otimização Convencional,llm-compilado,,
IA,llm,Busca Adversária,Teoria dos Jogos,llm-compilado,,
IA,llm,Busca Adversária,Árvore de Busca,llm-compilado,,
IA,llm,Busca Adversária,Transposição,llm-compilado,,
IA,llm,Busca Adversária,Redução por simetria,llm-compilado,,
IA,llm,Busca Adversária,Algoritmo Minimax,llm-compilado,,
IA,llm,Busca Adversária,Minimax,llm-compilado,,
IA,llm,Agentes em Lógica,Ambientes,llm-compilado,,
IA,llm,Agentes em Lógica,Agentes puramente reativos,llm-compilado,,
IA,llm,Agentes em Lógica,Agentes Reativos,llm-compilado,,
IA,llm,Agentes em Lógica,Agente Reativo baseado em Modelo,llm-compilado,,
IA,llm,Agentes em Lógica,Agente Reativo baseado em Modelos,llm-compilado,,
IA,llm,Introdução ao aprendizado de máquina,Machine Learning,llm-compilado,,
IA,llm,Introdução ao aprendizado de máquina,Deep Learning,llm-compilado,,
IA,llm,Introdução ao aprendizado de máquina,aprendizado indutivo,llm-compilado,,
IA,llm,Introdução ao aprendizado de máquina,Exploração dos Dados,llm-compilado,,
IA,llm,Introdução ao aprendizado de máquina,Análise Exploratória dos Dados,llm-compilado,,
IA,llm,Introdução ao aprendizado de máquina,Caracterização dos Dados,llm-compilado,,
IA,llm,Introdução ao aprendizado de máquina,Generalização,llm-compilado,,
IA,llm,Paradigmas de aprendizado,Aprendizado Supervisionado,llm-compilado,,
IA,llm,Paradigmas de aprendizado,Aprendizado Não Supervisionado,llm-compilado,,
IA,llm,Modelos Preditivos,Classificação,llm-compilado,,
IA,llm,Modelos Preditivos,Regressão,llm-compilado,,
IA,llm,Modelos Preditivos,Rede Neural Perceptron,llm-compilado,,
IA,llm,Modelos Preditivos,Rede Perceptron,llm-compilado,,
IA,llm,Modelos Preditivos,MultiLayer Perceptron,llm-compilado,,
IA,llm,Modelos Preditivos,Árvores de Decisão,llm-compilado,,
IA,llm,Modelos Preditivos,Árvore de Decisão,llm-compilado,,
IA,llm,Modelos Preditivos,k-NN,llm-compilado,,
IA,llm,Modelos Preditivos,Classificador Linear,llm-compilado,,
IA,llm,Modelos Preditivos,Redes Feed Forward,llm-compilado,,
IA,llm,Modelos Preditivos,Redes Recorrentes,llm-compilado,,
IA,llm,Modelos Preditivos,Backpropagation,llm-compilado,,
IA,llm,Modelos Descritivos,Agrupamento,llm-compilado,,
IA,llm,Modelos Descritivos,Agrupamento Hierárquico,llm-compilado,,
IA,llm,Modelos Descritivos,Agrupamento Particional,llm-compilado,,
IA,llm,Modelos Descritivos,k-Means,llm-compilado,,
IA,llm,Modelos Descritivos,Clustering,llm-compilado,,
IA,llm,Modelos Descritivos,Mapa auto-organizável,llm-compilado,,
IA,llm,Métricas de Avaliação,Matriz de Confusão,llm-compilado,,
IA,llm,Métricas de Avaliação,Accuracy,llm-compilado,,
IA,llm,Métricas de Avaliação,Micro-médias,llm-compilado,,
IA,llm,Métricas de Avaliação,Macro-médias,llm-compilado,,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,alternativo,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,ativando,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,buildpacks,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,cadastro,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,circuitbreaker,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,colocando,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,conteiners,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,conversor,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,education,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,estudantes,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,explorando,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,fanout,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,globais,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,history,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,moedas,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,nameserver,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,produtor,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,registrando,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,rotas,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,teaching,auto-professor,secao,
ES2,manual/cru,2.7 Estudo de Caso: integração e implantação de microsserviços,welcome,auto-professor,secao,
ES2,manual/cru,1.5 Estudo de caso: arquitetura orientada a microsserviços,gateway,benchmark,,"12/09 (Gate 1 aprovado, 'ataque a subunidade'): medido no replay sincronizado, c1-3/replay_exp_curadoria_12-09.log e replay_exp_u05_12-09.log: E5 so 'gateway' +1 (roteiro3-gateway), 0 perdas; 'microsservicos' rejeitado como ajuste ao gold"
ES2,llm,1.1 Conceito de arquitetura de software,Arquitetura de Software,llm-compilado,,
ES2,llm,1.1 Conceito de arquitetura de software,Sistemas de Software,llm-compilado,,
ES2,llm,1.1 Conceito de arquitetura de software,Aplicações Corporativas,llm-compilado,,
ES2,llm,1.1 Conceito de arquitetura de software,IEEE,llm-compilado,,
ES2,llm,1.1 Conceito de arquitetura de software,Manutabilidade,llm-compilado,,
ES2,llm,1.3 Estilos e padrões arquiteturais,Padrões de Projeto,llm-compilado,,
ES2,llm,1.3 Estilos e padrões arquiteturais,PADRÕES,llm-compilado,,
ES2,llm,1.3 Estilos e padrões arquiteturais,Evolução dos modelos arquiteturais,llm-compilado,,
ES2,llm,1.3.1 Camadas,Arquitetura em camadas lógicas,llm-compilado,,
ES2,llm,1.3.1 Camadas,Arquitetura em camadas físicas,llm-compilado,,
ES2,llm,1.3.1 Camadas,camadas lógicas,llm-compilado,,
ES2,llm,1.3.1 Camadas,camadas físicas,llm-compilado,,
ES2,llm,1.3.2 Cliente-Servidor,arquitetura cliente servidor,llm-compilado,,
ES2,llm,1.3.2 Cliente-Servidor,Cliente,llm-compilado,,
ES2,llm,1.3.2 Cliente-Servidor,Servidor,llm-compilado,,
ES2,llm,1.3.2 Cliente-Servidor,Client Side Rendering,llm-compilado,,
ES2,llm,1.3.2 Cliente-Servidor,Server Side Rendering,llm-compilado,,
ES2,llm,1.3.2 Cliente-Servidor,HTTP,llm-compilado,,
ES2,llm,1.3.3 Orientada a Serviços,ARQUITETURA ORIENTADA A SERVIÇOS,llm-compilado,,
ES2,llm,1.3.3 Orientada a Serviços,WEB SERVICES,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,MICROSSERVIÇOS,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,Microserviços,llm-compilado,,
ES2,llm,1.3.4 Orientada a Microsserviços,Monolitos,llm-compilado,,
