curso,regime,entry_id,fora_do_escopo,confiante,aceito,primario,vazio,rota,passada,pred,win_slug,s1,s2,margem,razao,share_score,n_pos,n_cand,frase,exact_hits,max_tok_frase,tok_frase_doador,origem,doador,peso_doador,n_topic_tokens,n_overlap,cobertura,n_alias,pred_frase,pred_exact_hits,pred_max_tok_frase,pred_tok_frase_doador,pred_origem,pred_doador,pred_peso_doador,pred_n_topic_tokens,pred_n_overlap,pred_cobertura,pred_n_alias,pred_score,unidade,n_mat_unid,n_iguais,share_unid,reasons
MF,cru,exerciciosespecificacao-respostas,0,1,0,0,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1.1232,0.42223104,0.70096896,0.3759179487179487,0.5969728882466753,5,8,0,0,0,0,,,0.0,16,3,0.1875,11,0,0,0,0,,,0.0,16,3,0.1875,11,1.1232,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=1.12
MF,cru,exerciciosespecificacao,0,0,0,0,1,vazio-empate-exato,1a,,especificacao-de-conjuntos-indutivos,0.9936,0.9936,0.0,1.0,0.3842110421139848,5,8,0,0,0,0,,,0.0,8,2,0.25,5,0,0,0,0,,,0.0,0,0,0.0,0,0.0,unidade-01-metodos-formais,35,4,0.11428571428571428,empate-exato 2x score=0.99
MF,cru,exerciciosformalizacaoalgoritmosrecursao2,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,8.725999999999999,1.1232,7.602799999999999,0.1287187714875086,0.8703503462761564,4,8,1,3,8,8,alias,markdown_headings_text,4.4,15,5,0.3333333333333333,9,1,3,8,8,alias,markdown_headings_text,4.4,15,5,0.3333333333333333,9,8.725999999999999,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=8.73
MF,cru,exerciciosisabelle2,0,1,1,0,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1.7711999999999999,1.1232,0.6479999999999999,0.6341463414634146,0.551221470927773,5,8,0,0,0,0,,,0.0,16,8,0.5,11,0,0,0,0,,,0.0,16,8,0.5,11,1.7711999999999999,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=1.77
MF,cru,logicaproposicional-semantica,0,0,0,0,1,vazio-empate-exato,1a,,especificacao-de-conjuntos-indutivos,0.12494592,0.12494592,0.0,1.0,0.31868131868131866,4,8,0,0,0,0,,,0.0,8,1,0.125,5,0,0,0,0,,,0.0,0,0,0.0,0,0.0,unidade-01-metodos-formais,35,4,0.11428571428571428,empate-exato 3x score=0.12
MF,cru,exerciciosformalizacaoalgoritmosrecursao-respostas,0,0,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1.1232,0.01723392,1.10596608,0.015343589743589743,0.9559948229203435,4,8,0,0,0,0,,,0.0,15,3,0.2,9,0,0,0,0,,,0.0,15,3,0.2,9,1.1232,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=1.12
MF,cru,formalizacaoalgoritmos-recursao,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,9.725999999999999,0.9359999999999999,8.79,0.09623689080814313,0.9002071553818193,4,8,1,3,8,8,alias,markdown_headings_text,4.4,15,11,0.7333333333333333,9,1,3,8,8,alias,markdown_headings_text,4.4,15,11,0.7333333333333333,9,9.725999999999999,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=9.73
MF,cru,formalizacaoalgoritmos-recursao3,0,1,1,1,0,2a-rotulo,2a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,16.172399999999996,8.645999999999999,7.526399999999997,0.5346145284558879,0.5714453737401715,5,8,1,7,4,4,alias,markdown_headings_text,4.4,16,8,0.5,11,1,7,4,4,alias,markdown_headings_text,4.4,16,8,0.5,11,16.172399999999996,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=16.17|rotulo-decomposto
MF,cru,exerciciosisabelle,0,1,1,0,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1.3823999999999999,0.9936,0.3887999999999998,0.7187500000000001,0.39172417395164816,5,8,0,0,0,0,,,0.0,16,5,0.3125,11,0,0,0,0,,,0.0,16,5,0.3125,11,1.3823999999999999,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=1.38
MF,cru,exerciciosformalizacaoalgoritmosrecursao,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,8.905999999999999,0.9936,7.912399999999999,0.11156523691893108,0.8965108899437512,4,8,1,3,8,8,alias,markdown_headings_text,4.4,15,6,0.4,9,1,3,8,8,alias,markdown_headings_text,4.4,15,6,0.4,9,8.905999999999999,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=8.91
MF,cru,arvores,0,1,0,0,0,1a,1a,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,0.9072,0.12494592,0.78225408,0.13772698412698411,0.7613550669992458,5,8,0,0,0,0,,,0.0,11,2,0.18181818181818182,2,0,0,0,0,,,0.0,11,2,0.18181818181818182,2,0.9072,unidade-01-metodos-formais,35,7,0.2,winner_score=0.91
MF,cru,exemplos,0,1,0,0,0,1a,1a,exemplos-de-aplicacoes,exemplos-de-aplicacoes,11.090399999999999,0.12494592,10.965454079999999,0.0112661328716728,0.9658547662100568,6,8,1,6,1,1,alias,markdown_headings_text,4.4,2,1,0.5,2,1,6,1,1,alias,markdown_headings_text,4.4,2,1,0.5,2,11.090399999999999,unidade-01-metodos-formais,35,2,0.05714285714285714,winner_score=11.09
MF,cru,intro,0,1,0,0,0,2a-propagado,2a,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,2.9000000000000004,0.9359999999999999,1.9640000000000004,0.3227586206896551,0.6033536677112148,5,8,1,2,1,1,alias,markdown_text,1.1,17,2,0.11764705882352941,8,1,2,1,1,alias,markdown_text,1.1,17,2,0.11764705882352941,8,2.9000000000000004,unidade-01-metodos-formais,35,7,0.2,winner_score=2.90|propagado-headings
MF,cru,listas,0,1,0,0,0,1a,1a,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,0.9072,0.12494592,0.78225408,0.13772698412698411,0.8370179839292546,5,8,0,0,0,0,,,0.0,11,2,0.18181818181818182,2,0,0,0,0,,,0.0,11,2,0.18181818181818182,2,0.9072,unidade-01-metodos-formais,35,7,0.2,winner_score=0.91
MF,cru,provas,0,1,0,0,0,1a,1a,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,0.9072,0.12494592,0.78225408,0.13772698412698411,0.8370179839292546,5,8,0,0,0,0,,,0.0,11,2,0.18181818181818182,2,0,0,0,0,,,0.0,11,2,0.18181818181818182,2,0.9072,unidade-01-metodos-formais,35,7,0.2,winner_score=0.91
MF,cru,correcaoterminacao,0,1,1,1,0,2a-rotulo,2a,correcao-parcial-e-total,correcao-parcial-e-total,26.615199999999998,7.388,19.227199999999996,0.2775857404791247,0.5914500833551906,7,7,1,14,4,1,alias,markdown_headings_text,4.4,4,4,1.0,5,1,14,4,1,alias,markdown_headings_text,4.4,4,4,1.0,5,26.615199999999998,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=26.62|rotulo-decomposto
MF,cru,exercicioscorrecaoterminacao,0,1,1,1,0,1a,1a,correcao-parcial-e-total,correcao-parcial-e-total,18.288399999999996,0.9936,17.294799999999995,0.05432952035169836,0.9255150147640303,6,7,1,8,3,1,alias,markdown_headings_text,4.4,4,2,0.5,3,1,8,3,1,alias,markdown_headings_text,4.4,4,2,0.5,3,18.288399999999996,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=18.29
MF,cru,exerciciosformalizacaoalgoritmosinvariantes,0,1,1,1,0,1a,1a,invariante-e-variante-de-laco,invariante-e-variante-de-laco,15.121999999999995,7.468,7.653999999999995,0.49385001983864585,0.5563710791799357,6,7,1,7,7,7,alias,markdown_headings_text,4.4,6,5,0.8333333333333334,4,1,7,7,7,alias,markdown_headings_text,4.4,6,5,0.8333333333333334,4,15.121999999999995,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=8.73
MF,cru,formalizacaoalgoritmos-invarianteslaco,0,1,1,1,0,2a-rotulo,2a,invariante-e-variante-de-laco,invariante-e-variante-de-laco,15.451999999999998,7.096,8.355999999999998,0.45922857882474766,0.46950944641824494,6,7,1,6,3,1,alias,markdown_headings_text,4.4,6,5,0.8333333333333334,4,1,6,3,1,alias,markdown_headings_text,4.4,6,5,0.8333333333333334,4,15.451999999999998,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=15.45|rotulo-decomposto
MF,cru,logicadehoare,0,1,1,1,0,1a,1a,logica-de-hoare,logica-de-hoare,5.460399999999999,1.3900000000000001,4.070399999999999,0.2545601054867776,0.5511516538086416,7,7,1,3,4,3,label,title_text,3.8,3,2,0.6666666666666666,3,1,3,4,3,label,title_text,3.8,3,2,0.6666666666666666,3,5.460399999999999,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=5.46
MF,cru,logicadehoare2,0,1,1,1,0,1a,1a,logica-de-hoare,logica-de-hoare,5.06,0.9359999999999999,4.124,0.1849802371541502,0.7245441134072713,6,7,1,1,3,3,label,title_text,3.8,3,2,0.6666666666666666,3,1,1,3,3,label,title_text,3.8,3,2,0.6666666666666666,3,5.06,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=5.06
MF,cru,exerciciosdafny1,0,1,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,8.186,3.568,4.618,0.43586611287564136,0.6851423770386207,6,7,1,3,5,5,alias,markdown_headings_text,4.4,10,2,0.2,8,1,3,5,5,alias,markdown_headings_text,4.4,10,2,0.2,8,8.186,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=8.19
MF,cru,exerciciosdafny2,0,1,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,15.171999999999997,7.776,7.395999999999997,0.5125230688109677,0.4218565289012184,6,7,1,6,6,5,alias,markdown_headings_text,4.4,10,3,0.3,8,1,6,6,5,alias,markdown_headings_text,4.4,10,3,0.3,8,15.171999999999997,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=15.17
MF,cru,exerciciosdafny3,0,1,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,15.351999999999999,0.14217984000000003,15.209820159999998,0.009261323606044819,0.9864348806170139,6,7,1,6,6,5,alias,markdown_headings_text,4.4,8,4,0.5,6,1,6,6,5,alias,markdown_headings_text,4.4,8,4,0.5,6,15.351999999999999,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=15.35
MF,cru,exerciciosdafny4,0,1,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,15.531999999999998,3.568,11.963999999999999,0.22971928920937423,0.7991330984391044,6,7,1,6,7,5,alias,markdown_headings_text,4.4,8,5,0.625,6,1,6,7,5,alias,markdown_headings_text,4.4,8,5,0.625,6,15.531999999999998,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=15.53
MF,cru,exerciciosdafny5,0,1,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,15.351999999999999,4.578,10.773999999999997,0.29820218863991665,0.7628746931208341,6,7,1,6,6,5,alias,markdown_headings_text,4.4,8,4,0.5,6,1,6,6,5,alias,markdown_headings_text,4.4,8,4,0.5,6,15.351999999999999,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=15.35
MF,cru,verificacaomodelos,0,1,1,0,0,2a-rotulo,2a,especificacao-de-propriedades-para-sistemas-sequenciais-e-concorrentes,especificacao-de-propriedades-para-sistemas-sequenciais-e-concorrentes,8.866,6.680000000000001,2.185999999999999,0.753440108278818,0.42158166408677333,8,8,1,3,1,1,alias,markdown_headings_text,4.4,3,3,1.0,4,1,3,1,1,alias,markdown_headings_text,4.4,3,3,1.0,4,8.866,unidade-03-verificacao-de-modelos,5,1,0.2,winner_score=8.87|rotulo-decomposto
MF,cru,exercicioslogicatemporal,0,1,1,0,0,1a,1a,logica-temporal-linear,logica-temporal-linear,8.366399999999999,0.9936,7.372799999999999,0.11876075731497421,0.8055910514779614,7,8,1,4,6,6,alias,markdown_headings_text,4.4,3,2,0.6666666666666666,3,1,4,6,6,alias,markdown_headings_text,4.4,3,2,0.6666666666666666,3,8.366399999999999,unidade-03-verificacao-de-modelos,5,1,0.2,winner_score=8.37
MF,cru,exerciciosnusmv,0,1,1,0,0,1a,1a,verificacao-de-modelos-model-checking,verificacao-de-modelos-model-checking,8.725999999999999,0.9936,7.732399999999999,0.11386660554664224,0.7365149066700734,8,8,1,3,6,6,alias,markdown_headings_text,4.4,7,5,0.7142857142857143,3,1,3,6,6,alias,markdown_headings_text,4.4,7,5,0.7142857142857143,3,8.725999999999999,unidade-03-verificacao-de-modelos,5,2,0.4,winner_score=8.73
MF,cru,classes-parte1,0,0,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.9359999999999999,0.12494592,0.8110540799999999,0.13348923076923078,0.8412366437505177,5,7,0,0,0,0,,,0.0,8,2,0.25,6,0,0,0,0,,,0.0,8,2,0.25,6,0.9359999999999999,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.94
MF,cru,colecoes-arrays,0,0,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.9359999999999999,0.01723392,0.9187660799999999,0.018412307692307693,0.931402893367265,5,7,0,0,0,0,,,0.0,8,2,0.25,6,0,0,0,0,,,0.0,8,2,0.25,6,0.9359999999999999,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.94
MF,cru,colecoes-conjuntos,0,0,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.12494592,0.01723392,0.107712,0.13793103448275862,0.6444444444444443,5,7,0,0,0,0,,,0.0,8,1,0.125,6,0,0,0,0,,,0.0,8,1,0.125,6,0.12494592,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.12
MF,cru,colecoes-sequences,0,1,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.9359999999999999,0.01723392,0.9187660799999999,0.018412307692307693,0.931402893367265,5,7,0,0,0,0,,,0.0,8,2,0.25,6,0,0,0,0,,,0.0,8,2,0.25,6,0.9359999999999999,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.94
MF,cru,exercicios-conjuntos,0,0,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.12494592,0.107712,0.01723392,0.8620689655172414,0.4142857142857142,6,7,0,0,0,0,,,0.0,10,1,0.1,8,0,0,0,0,,,0.0,10,1,0.1,8,0.12494592,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.12
MF,cru,hoare,0,1,0,0,0,1a,1a,correcao-parcial-e-total,correcao-parcial-e-total,3.488,0.12494592,3.36305408,0.03582165137614679,0.9246202101280016,6,7,1,2,1,1,alias,markdown_lead_text,2.8,4,1,0.25,3,1,2,1,1,alias,markdown_lead_text,2.8,4,1,0.25,3,3.488,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=3.49
MF,cru,introducao-zip,0,0,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.12494592,0.01723392,0.107712,0.13793103448275862,0.6444444444444443,5,7,0,0,0,0,,,0.0,8,1,0.125,6,0,0,0,0,,,0.0,8,1,0.125,6,0.12494592,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.12
MF,cru,invariantes,0,1,1,1,0,1a,1a,invariante-e-variante-de-laco,invariante-e-variante-de-laco,0.9359999999999999,0.12494592,0.8110540799999999,0.13348923076923078,0.7669869919006173,5,7,0,0,0,0,,,0.0,6,2,0.3333333333333333,2,0,0,0,0,,,0.0,6,2,0.3333333333333333,2,0.9359999999999999,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=0.94
MF,cru,terminacao,0,0,0,0,1,vazio-empate-exato,1a,,correcao-parcial-e-total,0.12494592,0.12494592,0.0,1.0,0.41428571428571426,5,7,0,0,0,0,,,0.0,4,1,0.25,5,0,0,0,0,,,0.0,0,0,0.0,0,0.0,unidade-02-verificacao-de-programas,26,2,0.07692307692307693,empate-exato 2x score=0.12
MF,cru,tiposindutivos,0,1,0,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.12494592,0.01723392,0.107712,0.13793103448275862,0.6444444444444443,5,7,0,0,0,0,,,0.0,8,1,0.125,6,0,0,0,0,,,0.0,8,1,0.125,6,0.12494592,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.12
MF,cru,exemplos-zip,0,1,1,0,0,1a,1a,verificacao-de-modelos-model-checking,verificacao-de-modelos-model-checking,0.12494592,0.107712,0.01723392,0.8620689655172414,0.43939393939393934,5,8,0,0,0,0,,,0.0,7,1,0.14285714285714285,5,0,0,0,0,,,0.0,7,1,0.14285714285714285,5,0.12494592,unidade-03-verificacao-de-modelos,5,2,0.4,winner_score=0.12
MF,cru,exerciciosformalizacaoalgoritmosrecursao3-respostas,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,8.546,0.15941376,8.38658624,0.01865361104610344,0.9778164500535109,4,8,1,3,3,3,alias,markdown_headings_text,4.4,15,4,0.26666666666666666,9,1,3,3,3,alias,markdown_headings_text,4.4,15,4,0.26666666666666666,9,8.546,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=8.55
MF,cru,classes-parte2,0,0,1,1,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.9359999999999999,0.12494592,0.8110540799999999,0.13348923076923078,0.8412366437505177,5,7,0,0,0,0,,,0.0,8,2,0.25,6,0,0,0,0,,,0.0,8,2,0.25,6,0.9359999999999999,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.94
MF,cru,exercicios-arrays,0,1,1,0,0,1a,1a,verificacao-de-programas,verificacao-de-programas,0.9359999999999999,0.12494592,0.8110540799999999,0.13348923076923078,0.7669869919006173,6,7,0,0,0,0,,,0.0,8,2,0.25,6,0,0,0,0,,,0.0,8,2,0.25,6,0.9359999999999999,unidade-02-verificacao-de-programas,26,14,0.5384615384615384,winner_score=0.94
MF,cru,logicadehoare-exercicios-respostas,0,1,1,1,0,1a,1a,logica-de-hoare,logica-de-hoare,23.7624,0.15941376,23.60298624,0.006708655691344308,0.9904817712939278,6,7,1,10,4,3,label,markdown_headings_text,4.4,3,2,0.6666666666666666,3,1,10,4,3,label,markdown_headings_text,4.4,3,2,0.6666666666666666,3,23.7624,unidade-02-verificacao-de-programas,26,3,0.11538461538461539,winner_score=23.76
MF,produto,archive-of-formal-proofs-355fb8,0,1,0,0,0,1a,1a,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,16.311999999999998,15.232,1.0799999999999983,0.9337910740559099,0.32471706553261126,7,8,1,6,15,2,alias,markdown_headings_text,4.4,12,10,0.8333333333333334,5,1,6,15,2,alias,markdown_headings_text,4.4,12,10,0.8333333333333334,5,16.311999999999998,unidade-01-metodos-formais,35,1,0.02857142857142857,winner_score=16.31
MF,produto,exerciciosformalizacaoalgoritmosrecursao3,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,16.431999999999995,1.3823999999999999,15.049599999999995,0.08412852969814996,0.9061817584253198,5,8,1,6,8,8,alias,markdown_headings_text,4.4,22,10,0.45454545454545453,19,1,6,8,8,alias,markdown_headings_text,4.4,22,10,0.45454545454545453,19,16.431999999999995,unidade-01-metodos-formais,35,12,0.34285714285714286,winner_score=16.43
MF,produto,formalizacaoalgoritmos-recursao2,0,1,1,1,0,2a-rotulo,2a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,30.5048,8.825999999999999,21.678800000000003,0.28933151504025595,0.7554399242616151,6,8,1,14,4,4,alias,markdown_headings_text,4.4,23,11,0.4782608695652174,21,1,14,4,4,alias,markdown_headings_text,4.4,23,11,0.4782608695652174,21,30.5048,unidade-01-metodos-formais,35,12,0.34285714285714286,winner_score=30.50|rotulo-decomposto
MF,produto,exerciciosconjuntosindutivos,0,1,1,1,0,1a,1a,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,18.778399999999994,1.1232,17.655199999999994,0.059813402632812186,0.9222001715206671,6,8,1,9,3,2,alias,markdown_headings_text,4.4,17,7,0.4117647058823529,12,1,9,3,2,alias,markdown_headings_text,4.4,17,7,0.4117647058823529,12,18.778399999999994,unidade-01-metodos-formais,35,4,0.11428571428571428,winner_score=18.78
MF,produto,conjuntosindutivos,0,1,1,1,0,1a,1a,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,52.38040000000001,7.056,45.32440000000001,0.13470687509068274,0.8031107120979826,7,8,1,22,3,1,alias,markdown_headings_text,4.4,17,16,0.9411764705882353,12,1,22,3,1,alias,markdown_headings_text,4.4,17,16,0.9411764705882353,12,52.38040000000001,unidade-01-metodos-formais,35,4,0.11428571428571428,winner_score=52.38
