curso,entry_id,categoria,tipo,gold_primario,gold_extras,cru,produto,produto_acerta,conf,winner_score,passada,reasons,unidade,secao_moodle,titulo
IA,exemplo-com-k-nn,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,0.11,1a,winner_score=0.11,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Exemplo com k-NN
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,0.11,1a,winner_score=0.11,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Exemplo 2 k-NN (com IRIS.csv) - mais completo
IA,exemplo-de-programa-com-k-nn-em-java,codigo-professor,zip,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina,0,1.000,11.92,1a,winner_score=11.92,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Exemplo de programa com k-NN (em java)
IA,artigo-usando-k-nn-em-texto,bibliografia,pdf,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.968,32.27,2a:propagado-headings,winner_score=32.27 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Artigo usando k-NN em texto
IA,k-nn-para-classificacao-exemplo-cardio,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,0.11,1a,winner_score=0.11,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,K-NN para Classificação Exemplo Cardio
IA,k-nn-para-regressao-exemplo-imc,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,0.11,1a,winner_score=0.11,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,K-NN para Regressão exemplo IMC
IA,introducao-a-redes-neurais,material-de-aula,pdf,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.987,68.51,2a:propagado-headings,winner_score=68.51 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,Introducao a redes neurais
IA,rede-perceptron,material-de-aula,pdf,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.908,1.17,1a,winner_score=1.17,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,Rede Perceptron
IA,rede-perceptron-classificacao-de-cliente,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,31.16,2a:propagado-headings,winner_score=31.16 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,Rede Perceptron - Classificacao de Cliente
IA,rede-perceptron-classificacao-planta-iris,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,0.11,1a,winner_score=0.11,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,Rede Perceptron - Classificacao - Planta Iris
IA,rede-perceptron-exemplo-atualizado,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.881,0.91,1a,winner_score=0.91,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,Rede Perceptron - Exemplo Atualizado
IA,rede-perceptron-or-em-python,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,31.16,2a:propagado-headings,winner_score=31.16 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,Rede Perceptron - OR em Python
IA,rede-perceptron-reconhecendo-letras,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,34.53,2a:propagado-headings,winner_score=34.53 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,Rede Perceptron - Reconhecendo Letras
IA,exercicio-2-solucao-com-rede-perceptron-atualizado,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,50.29,2a:propagado-headings,winner_score=50.29 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,Exercicio 2 - Solução com rede Perceptron (atualizado)
IA,mlp,material-de-aula,pdf,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.981,48.73,2a:propagado-headings,winner_score=48.73 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,MLP
IA,mlp-xoripynb,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,,0,1.000,21.87,2a:propagado-headings,winner_score=21.87 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,MLP - XOR.ipynb
IA,mlp-classificacao-iris-atualizado,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.881,0.91,1a,winner_score=0.91,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,MLP Classificação - IRIS atualizado
IA,mlp-regressao-cardio,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,0.11,1a,winner_score=0.11,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,MLP Regressão - Cardio
IA,rede-perceptron-e-equacao-de-reta,material-de-aula,pdf,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,1.000,0.91,1a,winner_score=0.91,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,Rede Perceptron e Equação de Reta
IA,xor-backpropagation-em-python,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.995,22.41,2a:propagado-headings,winner_score=22.41 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,XOR - Backpropagation em python
IA,mlp-classificacao-inadimplencia-normalizacao-e-gridsearchcv,codigo-professor,code,modelos-preditivos,metricas-de-avaliacao,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.997,42.55,2a:propagado-headings,winner_score=42.55 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,MLP Classificação - Inadimplência (normalização e GridSearchCV)
IA,como-analisar-resultados-acc-pr-re-e-f1,material-de-aula,pdf,metricas-de-avaliacao,,introducao-ao-aprendizado-de-maquina,metricas-de-avaliacao,1,0.897,8.79,1a,winner_score=8.79,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 6 - 06.04 a 10.04 - ML - Aprendizado Supervisionado,"Como analisar resultados Acc, Pr, Re e F1"
IA,arvores-de-decisao,material-de-aula,pdf,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.988,8.97,1a,winner_score=8.97,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 7 - 13.04 a 17.04 - ML - Aprendizado Supervisionado,Árvores de Decisão
IA,exemplo-1-arvores-de-decisao-classificacao-planta-iris,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.908,1.17,1a,winner_score=1.17,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 7 - 13.04 a 17.04 - ML - Aprendizado Supervisionado,Exemplo 1 - Árvores de Decisão Classificação - Planta Iris
IA,exemplo-2-arvores-de-decisao-regressao-diabetes,codigo-professor,code,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.908,1.17,1a,winner_score=1.17,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 7 - 13.04 a 17.04 - ML - Aprendizado Supervisionado,Exemplo 2 - Arvores de Decisão - Regressão - Diabetes
IA,aula-sobre-agrupamento-parte-1-particional,material-de-aula,pdf,modelos-descritivos,paradigmas-de-aprendizado,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0.991,104.06,2a:propagado-headings,winner_score=104.06 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 8 - 20.04 a 24.04 - ML - Aprendizado Não Supervisionado,Aula sobre Agrupamento - parte 1 (particional)
IA,agrupamento-usando-k-means-exemplo-1-ipynb,codigo-professor,code,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0.924,1.43,1a,winner_score=1.43,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 8 - 20.04 a 24.04 - ML - Aprendizado Não Supervisionado,agrupamento usando k-Means exemplo 1 (.ipynb)
IA,agrupamento-usando-k-means-exemplo-2-ipynb,codigo-professor,code,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0.988,8.79,1a,winner_score=8.79,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 8 - 20.04 a 24.04 - ML - Aprendizado Não Supervisionado,agrupamento usando k-Means exemplo 2 (.ipynb)
IA,artigo-usando-agrupamento,bibliografia,pdf,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0.967,31.09,2a:propagado-headings,winner_score=31.09 | propagado-headings,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 8 - 20.04 a 24.04 - ML - Aprendizado Não Supervisionado,Artigo usando agrupamento
IA,survey-on-clustering,material-de-aula,pdf,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,1.000,0.91,1a,winner_score=0.91,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 8 - 20.04 a 24.04 - ML - Aprendizado Não Supervisionado,Survey on Clustering
IA,aula-sobre-agrupamento-parte-2-hierarquico,material-de-aula,pdf,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina,0,0.957,2.52,1a,winner_score=2.52,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 9 - 27.04 a 01.05 - ML - Aprendizado Não Supervisionado,Aula sobre Agrupamento - parte 2 (hierarquico)
IA,agrupamento-hierarquico-exemplo-1,codigo-professor,code,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0.988,8.97,1a,winner_score=8.97,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 9 - 27.04 a 01.05 - ML - Aprendizado Não Supervisionado,agrupamento hierarquico - exemplo 1
IA,agrupamento-hierarquico-exemplo-2-use-o-dataset-da-planta-iris,codigo-professor,code,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,modelos-descritivos,1,0.993,15.77,1a,winner_score=15.77,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 9 - 27.04 a 01.05 - ML - Aprendizado Não Supervisionado,agrupamento hierarquico - exemplo 2 (use o dataset da planta IRIS)
ES2,revisaoarquiteturapadroes,material-de-aula,pdf,conceito-de-arquitetura-de-software,estilos-e-padroes-arquiteturais,,conceito-de-arquitetura-de-software,1,0.000,4.84,1a,revisao-sem-assunto-dominante (winner_score=4.84 < 7.0),unidade-01-arquitetura-de-software,Revisão,RevisaoArquiteturaPadroes
ES2,microsservicos,material-de-aula,pdf,orientada-a-microsservicos,,estilos-e-padroes-arquiteturais,orientada-a-microsservicos,1,0.270,2.96,2a:rotulo-decomposto,winner_score=2.96 | rotulo-decomposto,unidade-01-arquitetura-de-software,Microsserviços,microsservicos
ES2,devops,material-de-aula,pdf,conceito-de-devops,gerenciamento-da-configuracao,integracao-continua-ci,gerenciamento-da-configuracao,1,0.869,10.14,1a,winner_score=10.14,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,DevOps,devops
ES2,roteiro2-nameserver,material-de-aula,pdf,estudo-de-caso-arquitetura-orientada-a-microsservicos,,cliente-servidor,estudo-de-caso-arquitetura-orientada-a-microsservicos,1,0.330,1.35,1a,winner_score=1.35,unidade-01-arquitetura-de-software,Microsserviços,Roteiro2_nameserver
ES2,microsservicos6,material-de-aula,pdf,estudo-de-caso-integracao-e-implantacao-de-microsservicos,,gerenciamento-da-configuracao,estudo-de-caso-integracao-e-implantacao-de-microsservicos,1,1.000,1.32,1a,winner_score=1.32,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,Microsserviços,microsservicos6
ES2,roteiro8-autenticacao-autorizacao,material-de-aula,pdf,estudo-de-caso-integracao-e-implantacao-de-microsservicos,,gerenciamento-da-configuracao,estudo-de-caso-integracao-e-implantacao-de-microsservicos,1,1.000,0.11,1a,winner_score=0.11,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,Microsserviços,Roteiro8_autenticacao_autorizacao
TCC,aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,material-de-aula,pdf,,,maquinas-de-turing,maquinas-de-turing,0,0.909,14.28,1a,winner_score=14.28,unidade-02-turing-computabilidade,Semana 4 - Teoria de Autômatos e Introdução a Máquinas de Turing,"Aula 06 - Revisão Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos"
TCC,aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis-pdf,material-de-aula,pdf,linguagens-reconheciveis-e-decidiveis,maquinas-de-turing-universais,maquinas-de-turing,linguagens-reconheciveis-e-decidiveis,1,0.589,25.73,2a:propagado-headings,winner_score=25.73 | propagado-headings,unidade-02-turing-computabilidade,Semana 6 - Variações de Máquinas de Turing e Linguagens Decidíveis,Aula 10 - Linguagens Reconhecı́veis e Linguagens Decidı́veis
CG,basico3d-py,codigo-professor,zip,conceito-de-camera-sintetica,pipeline-de-visualizacao-3d;projecoes,perspectiva,perspectiva,0,0.978,4.84,1a,winner_score=4.84,unidade-06-processo-de-visualizacao-3d,13 - Computação Gráfica 3D,Basico3D-PY
CG,programabasico3d,codigo-professor,code,modelos-de-reflexao-ambiente-difusa-especular,modelos-de-iluminacao-luz-pontual-direcional-spot;projecoes,metodos-de-sombreamento-flat-gouraud-phong,metodos-de-sombreamento-flat-gouraud-phong,0,0.666,3.45,2a:rotulo-decomposto,winner_score=3.45 | rotulo-decomposto,unidade-08-sintese-de-imagens-realisticas,16 - Síntese de Imagens Realísticas,ProgramaBasico3D
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d,listas,html,sistema-de-coordenadas-cartesianas,,desenho-de-linhas,desenho-de-linhas,0,0.887,1.41,1a,winner_score=1.41,unidade-04-processo-de-visualizacao-2d,6 - Processo de Visualização 2D,exercicios-teoricos-sobre-processo-de-visualizacao-2d
CG,pagina-com-videos-sobre-instanciamento,outros,html,,,desenho-de-linhas,desenho-de-linhas,0,0.986,1.35,1a,winner_score=1.35,unidade-04-processo-de-visualizacao-2d,6 - Processo de Visualização 2D,pagina-com-videos-sobre-instanciamento
CG,introducaoprocimg,material-de-aula,pdf,filtros,introducao-e-exemplos-de-aplicacoes;cores-e-tipos-de-imagens,segmentacao,filtros,1,0.120,10.46,1a,winner_score=10.46,unidade-03-processamento-de-imagens-e-visao-computacional,9 - Introdução ao Processamento de Imagens,IntroducaoProcImg
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d-html,listas,html,sistema-de-coordenadas-cartesianas,,desenho-de-linhas,desenho-de-linhas,0,0.887,1.41,1a,winner_score=1.41,unidade-04-processo-de-visualizacao-2d,Exercícios 2D,exercicios-teoricos-sobre-processo-de-visualizacao-2d
CG,pagina-com-videos-sobre-fundamentos-matematicos-para-computacao-grafica-d1d4a9,references,html,entidades-geometricas,operacoes-com-vetores,algoritmos-de-poligonos,algoritmos-de-poligonos,0,0.722,0.44,1a,winner_score=0.44,unidade-02-fundamentos-matematicos,3 - Fundamentos Matemáticos para Computação Gráfica,Página com Vídeos sobre Fundamentos Matemáticos para Computação Gráfica
CG,videos-sobre-algoritmos-de-detecao-de-colisao-bd7d84,references,html,algoritmos-de-deteccao-e-calculo-de-interseccao,,,algoritmos-de-deteccao-e-calculo-de-interseccao,1,0.000,0,1a,sem-sinal (winner_score=0),unidade-02-fundamentos-matematicos,4 - Detecção de Colisão,Vídeos sobre Algoritmos de Deteção de Colisão
CG,pagina-com-videos-sobre-introducao-ao-processamento-de-imagens-61f156,references,html,introducao-e-exemplos-de-aplicacoes,filtros,segmentacao,filtros,1,0.387,7.84,2a:propagado-headings,winner_score=7.84 | propagado-headings,unidade-03-processamento-de-imagens-e-visao-computacional,9 - Introdução ao Processamento de Imagens,Página com Vídeos sobre Introdução ao Processamento de Imagens
CG,paginas-com-videos-sobre-modelagem-geometrica-f2614a,references,html,tecnicas-de-modelagem-3d,formas-de-representacao,geometria-solida-construtiva-csg,geometria-solida-construtiva-csg,0,0.326,8.58,2a:rotulo-decomposto,winner_score=8.58 | rotulo-decomposto,unidade-07-representacao-e-modelagem-de-objetos,12 - Modelagem Geométrica,Páginas com Vídeos sobre Modelagem Geométrica
FR,01-protocolos-de-rede,material-de-aula,pdf,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,conceitos-de-redes-de-computadores-e-internet,modelos-osi-e-tcpip,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,1,1.000,12.10,1a,winner_score=12.10,unidade-01-introducao-a-redes-de-computadores,U1 - Redes de Computadores,01 - Protocolos de Rede
FR,03-tipos-de-redes,material-de-aula,pdf,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,classificacao-e-topologias-de-redes-de-computadores,modelos-osi-e-tcpip,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,1,0.816,7.06,1a,winner_score=7.06,unidade-01-introducao-a-redes-de-computadores,U1 - Redes de Computadores,03 - Tipos de Redes
FR,04-camada-de-aplicacao,material-de-aula,pdf,funcoes-e-caracteristicas-do-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,paradigmas-clienteservidor-e-p2p,1,0.673,7.16,2a:rotulo-decomposto,winner_score=7.16 | rotulo-decomposto,unidade-02-nivel-de-aplicacao,U2 - Camada de Aplicação,04 - Camada de Aplicação
FR,04-protocolo-http,material-de-aula,pdf,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,,paradigmas-clienteservidor-e-p2p,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,1,0.721,4.64,2a:propagado-headings,winner_score=4.64 | propagado-headings,unidade-02-nivel-de-aplicacao,U2 - Camada de Aplicação,04 - Protocolo HTTP
FR,05-protocolo-dns,material-de-aula,pdf,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat,,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat,1,0.800,5.18,2a:rotulo-decomposto,winner_score=5.18 | rotulo-decomposto,unidade-02-nivel-de-aplicacao,U2 - Camada de Aplicação,05 - Protocolo DNS
FR,unidade2-exercicios-http,listas,pdf,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,,paradigmas-clienteservidor-e-p2p,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,1,0.713,4.72,2a:propagado-headings,winner_score=4.72 | propagado-headings,unidade-02-nivel-de-aplicacao,U2 - Camada de Aplicação,unidade2-exercicios-http
FR,udp-example-c,codigo-professor,zip,implementacao-de-sockets,protocolo-udp,paradigmas-clienteservidor-e-p2p,implementacao-de-sockets,1,0.981,0.91,1a,winner_score=0.91,unidade-02-nivel-de-aplicacao,U2 - Camada de Aplicação,udp_example_c
FR,udp-example-java,codigo-professor,zip,implementacao-de-sockets,protocolo-udp,paradigmas-clienteservidor-e-p2p,implementacao-de-sockets,1,0.981,0.91,1a,winner_score=0.91,unidade-02-nivel-de-aplicacao,U2 - Camada de Aplicação,udp_example_java
FR,tcp-chat-c,codigo-professor,zip,implementacao-de-sockets,protocolo-tcp,paradigmas-clienteservidor-e-p2p,implementacao-de-sockets,1,0.981,0.91,1a,winner_score=0.91,unidade-02-nivel-de-aplicacao,U2 - Camada de Aplicação,tcp_chat_c
FR,tcp-example,codigo-professor,zip,implementacao-de-sockets,protocolo-tcp,paradigmas-clienteservidor-e-p2p,implementacao-de-sockets,1,0.981,0.91,1a,winner_score=0.91,unidade-02-nivel-de-aplicacao,U2 - Camada de Aplicação,tcp_example
