curso,topico,unidade,materiais_na_unidade,suporte_por_frase,suporte_por_token,carente_forte,carente_fraco,e_alvo_do_gold
SO,arquivos,unidade-06-gerencia-de-arquivos,4,4,4,0,0,0
SO,caracterizacao,unidade-04-deadlock,3,0,0,1,0,0
SO,chamadas-de-sistema,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,11,4,11,0,0,0
SO,comunicacao-e-sincronizacao-de-processos,unidade-03-programacao-concorrente,4,0,3,0,1,0
SO,conceitos-basicos,unidade-02-gerencia-do-processador,11,0,2,0,1,1
SO,construcoes-concorrentes-de-alto-nivel,unidade-03-programacao-concorrente,4,0,0,1,0,0
SO,deteccao-e-recuperacao,unidade-04-deadlock,3,0,0,1,0,0
SO,diretorios,unidade-06-gerencia-de-arquivos,4,1,1,0,0,0
SO,escalonamento,unidade-02-gerencia-do-processador,11,5,5,0,0,0
SO,estudo-de-casos,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,11,2,3,0,0,0
SO,evolucao-historica,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,11,3,4,0,0,0
SO,implementacao-de-sistemas-de-arquivos,unidade-06-gerencia-de-arquivos,4,0,4,0,1,0
SO,memoria-virtual,unidade-05-gerencia-de-memoria,6,5,5,0,0,0
SO,paginacao,unidade-05-gerencia-de-memoria,6,6,6,0,0,0
SO,particoes-fixas,unidade-05-gerencia-de-memoria,6,1,2,0,0,0
SO,particoes-variaveis,unidade-05-gerencia-de-memoria,6,2,2,0,0,0
SO,politicas-basicas,unidade-05-gerencia-de-memoria,6,1,3,0,0,0
SO,prevencao,unidade-04-deadlock,3,0,0,1,0,0
SO,primitivas-de-sincronizacao,unidade-03-programacao-concorrente,4,0,0,1,0,0
SO,problemas-classicos,unidade-03-programacao-concorrente,4,0,0,1,0,0
SO,programas-multithreads,unidade-03-programacao-concorrente,4,2,3,0,0,0
SO,protecao,unidade-06-gerencia-de-arquivos,4,0,0,1,0,0
SO,segmentacao,unidade-05-gerencia-de-memoria,6,4,5,0,0,0
SO,seguranca,unidade-06-gerencia-de-arquivos,4,0,0,1,0,0
SO,servicos-dos-sistemas-operacionais,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,11,4,4,0,0,0
SO,sistemas-monoprogramados,unidade-05-gerencia-de-memoria,6,0,0,1,0,0
SO,swapping,unidade-05-gerencia-de-memoria,6,1,1,0,0,0
TCC,argumento-diagonal-de-cantor-e-conjuntos-incontaveis,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,7,1,7,0,0,0
TCC,classe-np,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,3,4,0,0,0
TCC,classe-p-e-exemplos-de-problemas-em-p,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,0,4,0,1,0
TCC,classe-pspace,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,0,4,0,1,0
TCC,complexidade-de-tempo-e-de-espaco,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,1,9,0,0,0
TCC,conjectura-de-church-turing,unidade-02-turing-computabilidade,5,0,5,0,1,0
TCC,conjuntos-enumeraveis,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,7,4,7,0,0,0
TCC,decidibilidade-de-teorias-logicas,unidade-03-problemas-indecidiveis,6,0,3,0,1,0
TCC,definicao-da-classe,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,6,7,0,0,0
TCC,entscheidungsproblem-e-introducao-a-reducibilidade-de-problemas,unidade-03-problemas-indecidiveis,6,0,6,0,1,0
TCC,exemplos-de-problemas-em-pspace,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,0,2,0,1,0
TCC,exemplos-de-problemas-importantes-em-np-e-suas-aplicacoes-industriais,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,0,4,0,1,0
TCC,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,7,5,7,0,0,0
TCC,hierarquia-de-classes-de-complexidade-de-problemas,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,2,3,0,0,0
TCC,intratabilidade,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,2,2,0,0,0
TCC,linguagens-reconheciveis-e-decidiveis,unidade-02-turing-computabilidade,5,1,5,0,0,0
TCC,maquinas-de-turing,unidade-02-turing-computabilidade,5,5,5,0,0,0
TCC,maquinas-de-turing-universais,unidade-02-turing-computabilidade,5,1,5,0,0,0
TCC,prova-da-indecidibilidade-do-problema-da-parada,unidade-03-problemas-indecidiveis,6,2,6,0,0,0
TCC,provas-de-np-completude,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,1,9,0,0,0
TCC,provas-de-pspace-completude,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,0,9,0,1,0
TCC,reducao-polinomial-de-problemas,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,2,9,0,0,0
TCC,teorema-de-cook-levin,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,1,6,0,0,0
TCC,teoremas-de-godel,unidade-03-problemas-indecidiveis,6,2,4,0,0,0
TCC,tipos-de-problemas-computacionais,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,9,1,2,0,0,0
TCC,variacoes-de-maquinas-de-turing,unidade-02-turing-computabilidade,5,1,5,0,0,0
