curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
MF,exerciciosdafny3,1,1,1,0,bloco-13,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,exerciciosdafny4,1,1,1,0,bloco-13,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,exerciciosdafny5,1,1,1,0,bloco-15,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,verificacaomodelos,1,1,1,1,bloco-16,unidade-03-verificacao-de-modelos,verificacao-de-modelos-model-checking
MF,exercicioslogicatemporal,1,1,1,0,bloco-16,unidade-03-verificacao-de-modelos,logica-temporal-linear
MF,exerciciosnusmv,1,1,1,0,bloco-16,unidade-03-verificacao-de-modelos,verificacao-de-modelos-model-checking
MF,classes-parte1,1,1,1,0,bloco-15,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,colecoes-arrays,1,1,1,0,bloco-13,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,colecoes-conjuntos,1,1,1,0,bloco-13,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,colecoes-sequences,1,1,1,0,bloco-13,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,exercicios-conjuntos,1,1,1,0,bloco-13,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,hoare,1,1,0,0,bloco-10,unidade-02-verificacao-de-programas,correcao-parcial-e-total
MF,introducao-zip,0,1,1,0,bloco-10,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,invariantes,1,1,1,1,bloco-11,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,terminacao,1,1,0,0,bloco-12,unidade-02-verificacao-de-programas,
MF,tiposindutivos,1,1,0,0,bloco-15,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,exemplos-zip,1,1,1,0,bloco-16,unidade-03-verificacao-de-modelos,verificacao-de-modelos-model-checking
MF,exerciciosformalizacaoalgoritmosrecursao3-respostas,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,plano,1,1,,,bloco-01,unidade-01-metodos-formais,
MF,t2-2026-1,0,0,,,bloco-18,unidade-03-verificacao-de-modelos,modelos-de-kripke
MF,classes-parte2,1,1,1,1,bloco-15,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,exercicios-arrays,1,1,1,0,bloco-13,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,logicadehoare-exercicios-respostas,1,1,1,1,bloco-10,unidade-02-verificacao-de-programas,logica-de-hoare
SO,0206-laminas-gerencia-de-i-o-livro-texto,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,paginacao
SO,0205-laminas-segmentacao,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,segmentacao
SO,1205-laminas-gerencia-de-memoria,1,1,,,bloco-13,unidade-05-gerencia-de-memoria,paginacao
SO,2105-laminas-paginacao,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,paginacao
SO,2403-escalonamento-de-processos,1,1,1,1,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,2603-algoritmos-de-escalonamento,1,1,1,1,bloco-04,unidade-02-gerencia-do-processador,algoritmos-de-escalonamento
SO,exercicios,1,1,0,0,bloco-04,unidade-02-gerencia-do-processador,
SO,apresentacao-da-disciplina,1,1,,,bloco-01,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,
SO,lista-exercicios-p1-gabarito,1,1,,,bloco-09,unidade-03-programacao-concorrente,programas-multithreads
SO,lista-exercicios-p1,1,1,,,bloco-09,unidade-03-programacao-concorrente,programas-multithreads
SO,plano-de-ensino,1,1,,,bloco-01,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,
SO,questoes-do-enade-sobre-sisop,1,1,,,bloco-01,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,definicao-e-historico,0,1,1,0,,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,servicos-dos-sistemas-operacionais
SO,1203-processos,1,1,1,1,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,1703-chamada-de-sistema,1,1,1,1,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,1903-estruturas-de-controle,1,1,0,0,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,exemplo-criacao-de-processos-no-unix-linux-filho,1,1,1,1,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,exemplo-criacao-de-processos-no-unix-linux-teste01,1,1,1,1,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,exemplo-criacao-de-processos-no-unix-linux-teste02,1,1,1,1,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,exemplo-criacao-de-processos-no-unix-linux-teste03,1,1,1,1,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,0704-laminas-comunicacao-e-sincronizacao,1,0,,,bloco-06,unidade-04-deadlock,
SO,0904-laminas-semaforos,1,0,,,bloco-06,unidade-04-deadlock,
SO,14-04-troca-de-mensagens,1,,,,bloco-07,unidade-02-gerencia-do-processador,escalonamento
SO,1404-laminas-ipc,1,,,,bloco-07,unidade-02-gerencia-do-processador,escalonamento
SO,laminas-cs-4244-internet-programming-sockets-programming,0,0,,,bloco-06,unidade-04-deadlock,
SO,laminas-sockets-material-alternativo-em-pt,0,0,,,bloco-06,unidade-04-deadlock,
SO,0704-exemplo-threads-em-java,1,0,,,bloco-06,unidade-04-deadlock,conceitos-basicos
SO,3103-threads,1,0,0,0,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,biblioteca-em-c-pthread,1,0,,,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,exemplo-threads-em-c-exemplo1,1,0,0,0,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,exemplo-threads-em-c-exemplo2,1,0,0,0,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,exemplo-threads-em-c-exemplo3,1,0,0,0,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,0206-laminas-mecanismos-de-interrupcao,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,paginacao
SO,0206-laminas-memoria-virtual-livro-texto,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,paginacao
SO,2306-laminas-gerencia-de-arquivos,1,1,,,bloco-20,unidade-06-gerencia-de-arquivos,arquivos
SO,2306-laminas-laminas-armazenamento-em-massa,1,1,,,bloco-20,unidade-06-gerencia-de-arquivos,arquivos
SO,exercicios-p2,1,1,,,bloco-20,unidade-06-gerencia-de-arquivos,arquivos
SO,lista-exercicios-p2,1,1,,,bloco-20,unidade-06-gerencia-de-arquivos,arquivos
SO,programa,1,1,,,bloco-01,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,
IA,o-que-é-inteligência-artificial-ia-oracle-brasil-43437f,1,1,,,bloco-01,unidade-de-aprendizagem-01-visao-geral,breve-historico-de-ia
IA,ia-responsável-7c4626,1,1,,,bloco-01,unidade-de-aprendizagem-01-visao-geral,
IA,visao-geral-introducao-e-historico,1,1,,,bloco-02,unidade-de-aprendizagem-01-visao-geral,conceituacao
IA,rede-perceptron,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,mlp,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,arvores-de-decisao,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,aula-sobre-agrupamento-parte-1-particional,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,aula-sobre-agrupamento-parte-2-hierarquico,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,caracteristicas-dos-dados,1,1,1,1,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,introducao-a-ml,1,1,1,1,bloco-03,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,algoritmo-de-classificacao-k-nn,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,analise-exploratoria-dos-dados-exemplo-2,1,1,1,1,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,artigo-usando-k-nn-em-texto,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-de-programa-com-k-nn-em-java,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,introducao-a-redes-neurais,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-e-equacao-de-reta,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,como-analisar-resultados-acc-pr-re-e-f1,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,agrupamento-usando-k-means-exemplo-1-ipynb,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,agrupamento-usando-k-means-exemplo-2-ipynb,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,artigo-usando-agrupamento,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,survey-on-clustering,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,analise-exploratoria-de-dados-exemplo-1,0,1,1,1,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-com-k-nn,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exercicio-2-solucao-com-rede-perceptron-atualizado,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,k-nn-para-classificacao-exemplo-cardio,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,k-nn-para-regressao-exemplo-imc,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-classificacao-planta-iris,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-classificacao-de-cliente,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-exemplo-atualizado,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-or-em-python,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-reconhecendo-letras,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,mlp-xoripynb,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,mlp-classificacao-inadimplencia-normalizacao-e-gridsearchcv,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,mlp-classificacao-iris-atualizado,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,mlp-regressao-cardio,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,xor-backpropagation-em-python,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-1-arvores-de-decisao-classificacao-planta-iris,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-2-arvores-de-decisao-regressao-diabetes,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-complementar-classificacao-com-arvores-de-decisao,1,1,1,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,metricas-de-avaliacao
IA,agrupamento-hierarquico-exemplo-1,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,agrupamento-hierarquico-exemplo-2-use-o-dataset-da-planta-iris,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
ES2,revisaoarquiteturapadroes,1,1,1,1,bloco-01,unidade-01-arquitetura-de-software,conceito-de-arquitetura-de-software
ES2,revisao-p1,1,1,,,bloco-04,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,microsservicos2,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,arquitetura-serverless
ES2,microsservicos3,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,arquitetura-serverless
ES2,roteiro1-introducao,1,1,1,0,bloco-02,unidade-01-arquitetura-de-software,orientada-a-microsservicos
ES2,roteiro2-nameserver,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,arquitetura-serverless
ES2,servicos,1,1,1,1,bloco-01,unidade-01-arquitetura-de-software,orientada-a-servicos
ES2,web,1,1,1,1,bloco-01,unidade-01-arquitetura-de-software,cliente-servidor
ES2,microsservicos5,1,0,1,0,bloco-08,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,microsservicos6,1,1,0,0,bloco-10,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,gerenciamento-da-configuracao
ES2,microsservicos7,1,0,1,1,bloco-09,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro1,1,1,0,0,bloco-02,unidade-01-arquitetura-de-software,
ES2,roteiro2,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,
ES2,roteiro3,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,
ES2,roteiro4-circuitbreaker,1,1,1,1,bloco-07,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro5,1,1,1,1,bloco-08,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro5-conteiners,1,1,1,1,bloco-08,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro6,,,1,1,bloco-08,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro6-conteiners-composicao,,,1,1,bloco-08,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro7,1,1,1,1,bloco-09,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro7-filas,1,1,1,1,bloco-09,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro7-history-service,1,1,1,1,bloco-09,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro8-autenticacao-autorizacao,1,1,1,1,bloco-10,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,plano,1,1,,,bloco-01,unidade-01-arquitetura-de-software,
ES2,microsservicos,1,1,0,0,bloco-01,unidade-01-arquitetura-de-software,arquitetura-serverless
ES2,azure,0,0,,,bloco-08,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,microsservicos4,1,0,1,1,bloco-07,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro3-gateway,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,arquitetura-serverless
ES2,devops,1,1,0,0,bloco-12,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,integracao-continua-ci
ES2,kubernetes,,,0,0,bloco-12,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,
ES2,roteiro4,1,1,1,1,bloco-07,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
TCC,aula-17-complexidade-de-tempo-classes-p-e-np,1,1,,,bloco-19,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,hierarquia-de-classes-de-complexidade-de-problemas
TCC,plano-de-ensino,1,1,,,bloco-01,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,
TCC,aula-17-np-completude-pdf,1,1,,,bloco-19,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,trabalho-t2-enunciado,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,provas-de-np-completude
TCC,3dm-caetano-gabriel-e-gustavo,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,definicao-da-classe
TCC,cubic-3-edge-coloring,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,programacao-inteira-01-20260617-154423-0000,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,aula-04-funcoes-computaveis-funcoes-recursivas-parciais-pdf,1,1,1,1,bloco-03,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais
TCC,t1-enunciado,0,,1,1,,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais
TCC,aula-07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis,1,1,1,1,bloco-06,unidade-02-turing-computabilidade,maquinas-de-turing
TCC,aula-08-maquinas-de-turing-como-processadoras-de-funcoes,1,1,1,0,bloco-06,unidade-02-turing-computabilidade,maquinas-de-turing
TCC,aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis-pdf,1,1,0,0,bloco-09,unidade-02-turing-computabilidade,maquinas-de-turing
TCC,aula-11-o-problema-da-parada-halting-problem-halteproblem-pdf,1,1,,,bloco-10,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,aula-12-entscheidungsproblem-pdf,1,1,,,bloco-11,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,aula-13-teorema-de-rice-pdf,1,1,,,bloco-12,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,3d-matching,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,definicao-da-classe
TCC,integer-programming-0001,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,aula-16-classes-de-problemas-e-complexidade-pdf,1,1,,,bloco-19,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,hierarquia-de-classes-de-complexidade-de-problemas
TCC,aula-01-apresentacao-da-disciplina-revisao-de-teoria-de-conjuntos-e-enumerabilidade,1,1,1,1,bloco-01,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,conjuntos-enumeraveis
TCC,aula-02-conjuntos-enumeraveis-e-nao-enumeraveis-argumento-da-diagonalizacao-de-cantor,1,1,1,0,bloco-02,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,conjuntos-enumeraveis
TCC,aula-16-exemplo-de-prova-para-revisao,1,,,,bloco-16,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,aula-03-funcoes-recursivas-primitivas-e-composicao-de-funcoes,1,1,1,1,bloco-03,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais
TCC,aula-05-minimizacao-de-funcoes-recursivas-parciais,1,1,1,1,bloco-03,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais
TCC,aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,1,,0,0,bloco-05,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,conjuntos-enumeraveis
TCC,aula-09-variacoes-de-maquinas-de-turing,1,1,0,0,bloco-08,unidade-02-turing-computabilidade,maquinas-de-turing
TCC,aula-14-problema-da-correspondencia-de-post,1,1,,,bloco-13,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,aula-15-teoremas-de-incompletude-de-godel,1,1,,,bloco-14,unidade-03-problemas-indecidiveis,teoremas-de-godel
CG,intro,1,1,1,1,bloco-01,unidade-01-introducao-ao-processamento-grafico,origens
CG,origensdacomputacaografica,1,1,1,1,bloco-01,unidade-01-introducao-ao-processamento-grafico,origens
CG,segmentacaopptx,,1,1,1,bloco-07,unidade-03-processamento-de-imagens-e-visao-computacional,segmentacao
CG,segmentacaodetexturas,,1,1,1,bloco-07,unidade-03-processamento-de-imagens-e-visao-computacional,segmentacao
CG,morfologiamatematicapptx,1,1,1,1,bloco-08,unidade-03-processamento-de-imagens-e-visao-computacional,segmentacao
