curso,entry,grupo,categoria,card,posicao_moodle,fonte_posicao,sarc_posicao,gold,sarc_gold,motor,motor_ok,veredito,label_moodle,titulo
MF,exerciciosespecificacao,AULA,listas,Revisão - Lógica e Especificação,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi...,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-03,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci,bloco-03,True,concorda,Exercícios - asserções lógicas,ExerciciosEspecificacao
MF,exerciciosespecificacao-respostas,AULA,gabaritos,Revisão - Lógica e Especificação,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi...,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-03,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci,bloco-03,True,concorda,Respostas,ExerciciosEspecificacao_respostas
MF,exerciciosformalizacaoalgoritmosinvariantes,AULA,listas,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,True,concorda,Exercícios - invariantes de laço,ExerciciosFormalizacaoAlgoritmosInvariantes
MF,exerciciosformalizacaoalgoritmosrecursao,AULA,listas,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,True,concorda,Exercícios - equações recursivas parte 1,ExerciciosFormalizacaoAlgoritmosRecursao
MF,exerciciosformalizacaoalgoritmosrecursao-respostas,AULA,gabaritos,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,True,concorda,Respostas,ExerciciosFormalizacaoAlgoritmosRecursao_respostas
MF,exerciciosformalizacaoalgoritmosrecursao2,AULA,listas,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,True,concorda,Exercícios - equações recursivas parte 2,ExerciciosFormalizacaoAlgoritmosRecursao2
MF,exerciciosformalizacaoalgoritmosrecursao3,AULA,listas,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,True,concorda,Exercícios - equações recursivas parte 3,ExerciciosFormalizacaoAlgoritmosRecursao3
MF,exerciciosformalizacaoalgoritmosrecursao3-respostas,AULA,listas,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,True,concorda,Respostas,ExerciciosFormalizacaoAlgoritmosRecursao3_respostas
MF,exerciciosisabelle,AULA,listas,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,True,concorda,Exercícios - provas em Isabelle,ExerciciosIsabelle
MF,exerciciosisabelle2,AULA,listas,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-05,False,concorda,Exercícios - provas em Isabelle (parte 2),ExerciciosIsabelle2
MF,exercicioslogicatemporal,AULA,listas,Especificação e Verificação de Modelos,bloco-16 bloco-18 bloco-19,label: Semana 15/06/2026 a 19/06/2026: (15/06/2026): Veri... || Sem,class 06-15..06-22 | 06-15 verificacao de modelos logica temporal; 06-17 verificacao de modelos logica temporal; 06-22 exercicios aula / class 06-29..06-29 | 06-29 verificacao de modelos ferramenta aula,bloco-16,class 06-15..06-22 | 06-15 verificacao de modelos logica temporal; 06-17 verificacao de modelos logica temporal; 06-22 exercicios aula,bloco-16,True,concorda,Exercícios - modelos e lógica temporal,ExerciciosLogicaTemporal
MF,exerciciosnusmv,AULA,listas,Especificação e Verificação de Modelos,bloco-16 bloco-18 bloco-19,label: Semana 15/06/2026 a 19/06/2026: (15/06/2026): Veri... || Sem,class 06-15..06-22 | 06-15 verificacao de modelos logica temporal; 06-17 verificacao de modelos logica temporal; 06-22 exercicios aula / class 06-29..06-29 | 06-29 verificacao de modelos ferramenta aula,bloco-16,class 06-15..06-22 | 06-15 verificacao de modelos logica temporal; 06-17 verificacao de modelos logica temporal; 06-22 exercicios aula,bloco-18,False,concorda,Exercícios - verificação de modelos com NuXMV/NuSMV/Fasten,ExerciciosNusmv
MF,formalizacaoalgoritmos-invarianteslaco,AULA,material-de-aula,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,True,concorda,Invariantes de laço,FormalizacaoAlgoritmos_InvariantesLaco
MF,formalizacaoalgoritmos-recursao,AULA,material-de-aula,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-06,False,concorda,Especificações recursivas,FormalizacaoAlgoritmos_Recursao
MF,formalizacaoalgoritmos-recursao2,AULA,material-de-aula,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-05,False,concorda,Especificações recursivas - listas,FormalizacaoAlgoritmos_Recursao2
MF,formalizacaoalgoritmos-recursao3,AULA,material-de-aula,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,True,concorda,Especificações recursivas - árvores binárias,FormalizacaoAlgoritmos_Recursao3
MF,introducao,AULA,material-de-aula,Introdução a Métodos Formais,bloco-01 bloco-02,label: Semana 02/03/2026 a 06/03/2026: (02/03/2026): apre...,class 03-02..03-02 | 03-02 apresentacao da disciplina aula / class 03-04..03-04 | 03-04 introducao a metodos formais aula,bloco-02,class 03-04..03-04 | 03-04 introducao a metodos formais aula,bloco-01,False,concorda,Introdução,introducao
MF,logicadehoare,AULA,material-de-aula,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-10,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula,bloco-10,True,concorda,Lógica de Hoare (parte 1),LogicaDeHoare
MF,logicadehoare-exercicios-respostas,AULA,gabaritos,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13 bloco-15,irmaos datados do card (faixa),class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-10,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula,bloco-10,True,concorda,,LogicaDeHoare_exercicios_respostas
MF,logicadehoare2,AULA,material-de-aula,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-10,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula,bloco-10,True,concorda,Lógica de Hoare (parte 2),LogicaDeHoare2
MF,logicapredicados-semantica,AULA,material-de-aula,Revisão - Lógica e Especificação,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi...,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-03,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci,bloco-03,True,concorda,Lógica Predicados - semântica,logicaPredicados_semantica
MF,logicapredicados-sintaxe,AULA,material-de-aula,Revisão - Lógica e Especificação,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi...,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-03,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci,bloco-03,True,concorda,Lógica Predicados - sintaxe,logicaPredicados_sintaxe
MF,logicaproposicional-semantica,AULA,material-de-aula,Revisão - Lógica e Especificação,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi...,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-03,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci,bloco-16,False,concorda,Lógica Proposicional - semântica,logicaProposicional_semantica
MF,logicaproposicional-sintaxe,AULA,material-de-aula,Revisão - Lógica e Especificação,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi...,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-03,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci,bloco-05,False,concorda,Lógica Proposicional - sintaxe,logicaProposicional_sintaxe
MF,plano,BASE,cronograma,Plano de Ensino,,,,bloco-01,class 03-02..03-02 | 03-02 apresentacao da disciplina aula,bloco-01,True,sem posicao datada,Plano de Ensino,plano
MF,provasindutivas-especificacoesrecursivas,AULA,material-de-aula,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-05,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au,bloco-05,True,concorda,Provas indutivas de especificações recursivas,ProvasIndutivas_EspecificaçõesRecursivas
MF,provasindutivas-especificacoesrecursivas-arvores,AULA,material-de-aula,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-05,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au,bloco-05,True,concorda,Indução estrutural sobre árvores,ProvasIndutivas_EspecificaçõesRecursivas_Arvores
MF,provasindutivas-especificacoesrecursivas-listas,AULA,material-de-aula,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-05,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au,bloco-05,True,concorda,Indução estrutural sobre listas,ProvasIndutivas_EspecificaçõesRecursivas_Listas
MF,revisao,AULA,material-de-aula,Revisão - Lógica e Especificação,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi...,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-03,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci,bloco-11,False,concorda,Conceitos essenciais,revisao
MF,revisao-p1,AULA,listas,Exercícios de Revisão para Provas,,,,bloco-07,review 04-15..04-15 | 04-15 exercicios de revisao aula,bloco-07,True,sem posicao datada,Exercícios para P1,revisao_p1
MF,revisao-p1-gabarito,AULA,provas,Exercícios de Revisão para Provas,,,,bloco-07,review 04-15..04-15 | 04-15 exercicios de revisao aula,bloco-07,True,sem posicao datada,Respostas,revisao_p1_gabarito
MF,t1-2026-1,AULA,trabalhos,TDE Trabalho Discente Efetivo,bloco-11,label: Trabalho 1 (06/05/2026):,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,True,concorda,Definição,t1_2026_1
MF,t2-2026-1,AULA,trabalhos,TDE Trabalho Discente Efetivo,bloco-11,label: Trabalho 1 (06/05/2026):,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-18,class 06-29..06-29 | 06-29 verificacao de modelos ferramenta aula,bloco-18,True,gold DEPOIS da postagem,Definição,t2_2026_1
MF,verificacaomodelos,AULA,material-de-aula,Especificação e Verificação de Modelos,bloco-16 bloco-18 bloco-19,label: Semana 15/06/2026 a 19/06/2026: (15/06/2026): Veri... || Sem,class 06-15..06-22 | 06-15 verificacao de modelos logica temporal; 06-17 verificacao de modelos logica temporal; 06-22 exercicios aula / class 06-29..06-29 | 06-29 verificacao de modelos ferramenta aula,bloco-16,class 06-15..06-22 | 06-15 verificacao de modelos logica temporal; 06-17 verificacao de modelos logica temporal; 06-22 exercicios aula,bloco-16,True,concorda,Verificação de modelos e Lógica temporal,verificacaomodelos
MF,arvores,AULA,codigo-professor,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-05,False,concorda,Exemplos: provas sobre arvores,arvores
MF,classes-parte1,AULA,codigo-professor,Verificação de Programas,bloco-15,label: Semana 01/06/2026 a 05/06/2026: (01/06/2026): Clas... || Sem,class 06-01..06-10 | 06-01 logica de programas orientacao a objet; 06-03 logica de programas orientacao a objet; 06-08 logica de programas orientacao a objet,bloco-15,class 06-01..06-10 | 06-01 logica de programas orientacao a objet; 06-03 logica de programas orientacao a objet; 06-08 logica de programas orientacao a objet,bloco-15,True,concorda,"Exemplos (classes, parte 1)",Classes Parte1
MF,classes-parte2,AULA,codigo-professor,Verificação de Programas,bloco-15,label: Semana 01/06/2026 a 05/06/2026: (01/06/2026): Clas... || Sem,class 06-01..06-10 | 06-01 logica de programas orientacao a objet; 06-03 logica de programas orientacao a objet; 06-08 logica de programas orientacao a objet,bloco-15,class 06-01..06-10 | 06-01 logica de programas orientacao a objet; 06-03 logica de programas orientacao a objet; 06-08 logica de programas orientacao a objet,bloco-15,True,concorda,"Exemplos (classes, parte 2)",classes_parte2
MF,colecoes-arrays,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-13,class 05-13..05-25 | 05-13 logica de programas introducao ao dafn; 05-18 logica de programas colecoes dafny arr; 05-20 logica de programas colecoes dafny seq,bloco-13,True,concorda,Exemplos (Arrays),Colecoes Arrays
MF,colecoes-conjuntos,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-13,class 05-13..05-25 | 05-13 logica de programas introducao ao dafn; 05-18 logica de programas colecoes dafny arr; 05-20 logica de programas colecoes dafny seq,bloco-13,True,concorda,Exemplos (Conjuntos e sequencias),Colecoes Conjuntos
MF,colecoes-sequences,AULA,codigo-professor,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-13,class 05-13..05-25 | 05-13 logica de programas introducao ao dafn; 05-18 logica de programas colecoes dafny arr; 05-20 logica de programas colecoes dafny seq,bloco-13,True,concorda,Exemplos (Sequencias),Colecoes Sequences
MF,exemplos,AULA,codigo-professor,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-06,True,concorda,Exemplos - definicoes de funcoes,exemplos
MF,exemplos-zip,AULA,codigo-professor,Especificação e Verificação de Modelos,bloco-16 bloco-18 bloco-19,label: Semana 15/06/2026 a 19/06/2026: (15/06/2026): Veri... || Sem,class 06-15..06-22 | 06-15 verificacao de modelos logica temporal; 06-17 verificacao de modelos logica temporal; 06-22 exercicios aula / class 06-29..06-29 | 06-29 verificacao de modelos ferramenta aula,bloco-16,class 06-15..06-22 | 06-15 verificacao de modelos logica temporal; 06-17 verificacao de modelos logica temporal; 06-22 exercicios aula,bloco-16,True,concorda,Exemplos NuSMV,Exemplos
