card,n_files,candidate_block,block_aulas,block_dates,block_topic,confidence,true_block_id,evidence,file_ids
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,2603-algoritmos-de-escalonamento
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,2403-escalonamento-de-processos
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,1903-estruturas-de-controle
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,1703-chamada-de-sistema
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,1203-processos
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,exemplo-criacao-de-processos-no-unixlinux-20260603
Gerência de Memória,1,bloco-09,"20,21,22,23,24,25",6 dias · 12/05/2026 a 28/05/2026,gerencia memoria politicas basicas virtual paginacao segmentacao paginada,media,bloco-09,sem card-map; predicao unanime,ch9br-short
Informações Gerais,3,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,bloco-03,sem card-map; predicao unanime,questoes-enade-sisop;lista1-gab;lista1
Introdução aos Sistemas Operacionais,1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,bloco-03,sem card-map; predicao unanime,aula02-introducao
Sincronização e Comunicação de Processos,1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,bloco-03,sem card-map; predicao unanime,sockets-kurose
Threads,1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,bloco-03,sem card-map; predicao unanime,c-threads
