id,title,category,markdown_path,predicted_block_id,predicted_period,predicted_band,true_block_id
microsservices-126e62,Microsservices,references,staging/markdown-auto/url_fetcher/microsservices-126e62.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
feign,GitHub - OpenFeign/feign: Feign makes writing java http clients easier · GitHub,referencias,None,,,,
revisaoarquiteturapadroes,Revisaoarquiteturapadroes,material-de-aula,content/curated/revisaoarquiteturapadroes.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
microsservicos,microsservicos,material-de-aula,content/curated/microsservicos.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
web,Web,material-de-aula,content/curated/web.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
roteiro1-introducao,Roteiro1 Introducao,material-de-aula,content/curated/roteiro1-introducao.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
roteiro2-nameserver,Roteiro2_nameserver,material-de-aula,content/curated/roteiro2-nameserver.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
microsservicos2,microsservicos2,material-de-aula,content/curated/microsservicos2.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
microsservicos3,microsservicos3,material-de-aula,content/curated/microsservicos3.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
revisao-p1,revisao_p1,listas,exercises/lists/revisao-p1.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
