id,title,category,source_section,moodle_label,posting_date,predicted_block_id,proposed_true_block_id,block_aulas,block_dates,block_topic,confidence,method,needs_review,evidence
provasindutivas-especificacoesrecursivas,ProvasIndutivas_EspecificaçõesRecursivas,material-de-aula,Provas por Indução,Provas indutivas de especificações recursivas,2026-02-18,bloco-05,bloco-05,"8,9",2 dias · 30/03/2026 a 01/04/2026,inducao arvores,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
provasindutivas-especificacoesrecursivas-arvores,ProvasIndutivas_EspecificaçõesRecursivas_Arvores,material-de-aula,Provas por Indução,Indução estrutural sobre árvores,2026-02-18,bloco-05,bloco-05,"8,9",2 dias · 30/03/2026 a 01/04/2026,inducao arvores,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
provasindutivas-especificacoesrecursivas-listas,ProvasIndutivas_EspecificaçõesRecursivas_Listas,material-de-aula,Provas por Indução,Indução estrutural sobre listas,2026-02-18,bloco-05,bloco-05,"8,9",2 dias · 30/03/2026 a 01/04/2026,inducao arvores,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
exercicioscorrecaoinducaomatematica,ExerciciosCorrecaoInducaoMatematica,listas,Provas por Indução,Exercícios - provas de especificações recursivas,2026-02-18,bloco-05,bloco-05,"8,9",2 dias · 30/03/2026 a 01/04/2026,inducao arvores,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
exerciciosespecificacao-respostas,ExerciciosEspecificacao_respostas,gabaritos,Revisão - Lógica e Especificação,Respostas,2026-02-18,bloco-03,bloco-03,2,1 dia · 09/03/2026,logica predicados,baixa,card-multi,SIM,"card_block_map['Revisão - Lógica e Especificação']=['bloco-02', 'bloco-03'] (varios -> revisar)"
exerciciosespecificacao,ExerciciosEspecificacao,listas,Revisão - Lógica e Especificação,Exercícios - asserções lógicas,2026-02-18,bloco-03,bloco-03,2,1 dia · 09/03/2026,logica predicados,baixa,card-multi,SIM,"card_block_map['Revisão - Lógica e Especificação']=['bloco-02', 'bloco-03'] (varios -> revisar)"
exerciciosformalizacaoalgoritmosrecursao2,ExerciciosFormalizacaoAlgoritmosRecursao2,listas,Especificações Indutivas e Recursivas,Exercícios - equações recursivas parte 2,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
exerciciosisabelle2,ExerciciosIsabelle2,listas,Provas por Indução,Exercícios - provas em Isabelle (parte 2),2026-02-18,bloco-06,bloco-06,"10,11,12",3 dias · 06/04/2026 a 13/04/2026,interativa teoremas isabelle,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
logicaproposicional-semantica,logicaProposicional_semantica,material-de-aula,Revisão - Lógica e Especificação,Lógica Proposicional - semântica,2026-02-18,bloco-03,bloco-03,2,1 dia · 09/03/2026,logica predicados,baixa,card-multi,SIM,"card_block_map['Revisão - Lógica e Especificação']=['bloco-02', 'bloco-03'] (varios -> revisar)"
exerciciosformalizacaoalgoritmosrecursao-respostas,ExerciciosFormalizacaoAlgoritmosRecursao_respostas,gabaritos,Especificações Indutivas e Recursivas,Respostas,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
formalizacaoalgoritmos-recursao,FormalizacaoAlgoritmos_Recursao,material-de-aula,Especificações Indutivas e Recursivas,Especificações recursivas,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
formalizacaoalgoritmos-recursao3,FormalizacaoAlgoritmos_Recursao3,material-de-aula,Especificações Indutivas e Recursivas,Especificações recursivas - árvores binárias,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
exerciciosisabelle,ExerciciosIsabelle,listas,Provas por Indução,Exercícios - provas em Isabelle,2026-02-18,bloco-06,bloco-06,"10,11,12",3 dias · 06/04/2026 a 13/04/2026,interativa teoremas isabelle,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
revisao-p1,revisao_p1,listas,Exercícios de Revisão para Provas,Exercícios para P1,2026-02-18,bloco-06,bloco-07,13,1 dia · 15/04/2026,Conteúdo: unidade-01-metodos-formais,alta,card-manual,,card_block_map['Exercícios de Revisão para Provas']=['bloco-07'] (source=manual)
t1-2026-1,t1_2026_1,trabalhos,TDE Trabalho Discente Efetivo,Definição,2026-04-15,bloco-05,bloco-05,"8,9",2 dias · 30/03/2026 a 01/04/2026,inducao arvores,baixa,prediction,SIM,sem card/data -> predicao do funil
t1-2026-1-thy,T1 2026 1,codigo-professor,TDE Trabalho Discente Efetivo,Arquivo .thy,2026-04-15,bloco-05,bloco-05,"8,9",2 dias · 30/03/2026 a 01/04/2026,inducao arvores,baixa,prediction,SIM,sem card/data -> predicao do funil
exerciciosformalizacaoalgoritmosrecursao,ExerciciosFormalizacaoAlgoritmosRecursao,listas,Especificações Indutivas e Recursivas,Exercícios - equações recursivas parte 1,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
revisao-p1-gabarito,revisao_p1_gabarito,provas,Exercícios de Revisão para Provas,Respostas,2026-02-18,bloco-07,bloco-07,13,1 dia · 15/04/2026,Conteúdo: unidade-01-metodos-formais,alta,card-manual,,card_block_map['Exercícios de Revisão para Provas']=['bloco-07'] (source=manual)
arvores,arvores,codigo-professor,Provas por Indução,Exemplos: provas sobre arvores,2026-02-18,bloco-06,bloco-06,"10,11,12",3 dias · 06/04/2026 a 13/04/2026,interativa teoremas isabelle,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
exemplos,exemplos,codigo-professor,Provas por Indução,Exemplos - definicoes de funcoes,2026-02-18,bloco-06,bloco-06,"10,11,12",3 dias · 06/04/2026 a 13/04/2026,interativa teoremas isabelle,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
intro,intro,codigo-professor,Provas por Indução,Exemplos - introducao,2026-02-18,bloco-06,bloco-06,"10,11,12",3 dias · 06/04/2026 a 13/04/2026,interativa teoremas isabelle,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
listas,listas,codigo-professor,Provas por Indução,Exemplos: provas sobre listas,2026-02-18,bloco-06,bloco-06,"10,11,12",3 dias · 06/04/2026 a 13/04/2026,interativa teoremas isabelle,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
provas,provas,codigo-professor,Provas por Indução,Exemplos - provas isabelle e isar,2026-02-18,bloco-05,bloco-05,"8,9",2 dias · 30/03/2026 a 01/04/2026,inducao arvores,baixa,card-multi,SIM,"card_block_map['Provas por Indução']=['bloco-05', 'bloco-06'] (varios -> revisar)"
correcaoterminacao,CorrecaoTerminacao,material-de-aula,Verificação de Programas,Correção e Terminação,2026-02-18,bloco-11,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
exercicioscorrecaoterminacao,ExerciciosCorrecaoTerminacao,listas,Verificação de Programas,Exercícios - terminação,2026-02-18,bloco-11,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
exerciciosformalizacaoalgoritmosinvariantes,ExerciciosFormalizacaoAlgoritmosInvariantes,listas,Verificação de Programas,Exercícios - invariantes de laço,2026-02-18,bloco-11,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
formalizacaoalgoritmos-invarianteslaco,FormalizacaoAlgoritmos_InvariantesLaco,material-de-aula,Verificação de Programas,Invariantes de laço,2026-02-18,bloco-11,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
logicadehoare,LogicaDeHoare,material-de-aula,Verificação de Programas,Lógica de Hoare (parte 1),2026-02-18,bloco-10,bloco-10,"16,17,18",3 dias · 27/04/2026 a 04/05/2026,logica hoare,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
logicadehoare2,LogicaDeHoare2,material-de-aula,Verificação de Programas,Lógica de Hoare (parte 2),2026-02-18,bloco-10,bloco-10,"16,17,18",3 dias · 27/04/2026 a 04/05/2026,logica hoare,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
exerciciosdafny1,ExerciciosDafny1,listas,Verificação de Programas,Exercícios - programação e verificação com Dafny,2026-02-18,bloco-15,bloco-15,"26,27,28,29",4 dias · 01/06/2026 a 10/06/2026,logica programas orientacao objetos dafny ghosts autocontrato,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
exerciciosdafny2,ExerciciosDafny2,listas,Verificação de Programas,Exercícios - arrays no Dafny,2026-02-18,bloco-11,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
exerciciosdafny3,ExerciciosDafny3,listas,Verificação de Programas,Exercícios - sequências no Dafny,2026-02-18,bloco-13,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
exerciciosdafny4,ExerciciosDafny4,listas,Verificação de Programas,Exercícios - conjuntos e multiconjuntos no Dafny,2026-02-18,bloco-13,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
exerciciosdafny5,ExerciciosDafny5,listas,Verificação de Programas,Exercícios - classes em Dafny,2026-02-18,bloco-15,bloco-15,"26,27,28,29",4 dias · 01/06/2026 a 10/06/2026,logica programas orientacao objetos dafny ghosts autocontrato,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
verificacaomodelos,verificacaomodelos,material-de-aula,,Verificação de modelos e Lógica temporal,2026-02-18,bloco-16,bloco-16,"30,31,32,33,34",5 dias · 15/06/2026 a 29/06/2026,verificacao modelos logica temporal ferramenta,baixa,prediction,SIM,sem card/data -> predicao do funil
exercicioslogicatemporal,ExerciciosLogicaTemporal,listas,,Exercícios - modelos e lógica temporal,2026-02-18,bloco-16,bloco-16,"30,31,32,33,34",5 dias · 15/06/2026 a 29/06/2026,verificacao modelos logica temporal ferramenta,baixa,prediction,SIM,sem card/data -> predicao do funil
exerciciosnusmv,ExerciciosNusmv,listas,,Exercícios - verificação de modelos com NuXMV/NuSMV/Fasten,2026-02-18,bloco-16,bloco-16,"30,31,32,33,34",5 dias · 15/06/2026 a 29/06/2026,verificacao modelos logica temporal ferramenta,baixa,prediction,SIM,sem card/data -> predicao do funil
classes-parte1,Classes Parte1,codigo-professor,,"Exemplos (classes, parte 1)",2026-05-31,bloco-16,bloco-16,"30,31,32,33,34",5 dias · 15/06/2026 a 29/06/2026,verificacao modelos logica temporal ferramenta,baixa,prediction,SIM,sem card/data -> predicao do funil
colecoes-arrays,Colecoes Arrays,codigo-professor,,Exemplos (Arrays),2026-05-18,bloco-13,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,prediction,SIM,sem card/data -> predicao do funil
colecoes-conjuntos,Colecoes Conjuntos,codigo-professor,,Exemplos (Conjuntos e sequencias),2026-05-24,bloco-13,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,prediction,SIM,sem card/data -> predicao do funil
colecoes-sequences,Colecoes Sequences,codigo-professor,,Exemplos (Sequencias),2026-05-21,bloco-13,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,prediction,SIM,sem card/data -> predicao do funil
exercicios-conjuntos,Exercicios Conjuntos,codigo-professor,,Respostas,2026-06-08,bloco-13,bloco-13,"21,22,23,24",4 dias · 13/05/2026 a 25/05/2026,logica programas dafny colecoes arrays sequencias conjuntos,baixa,prediction,SIM,sem card/data -> predicao do funil
hoare,Hoare,codigo-professor,,Exemplos (Logica de Floyd-Hoare),2026-05-11,bloco-10,bloco-10,"16,17,18",3 dias · 27/04/2026 a 04/05/2026,logica hoare,baixa,prediction,SIM,sem card/data -> predicao do funil
introducao-zip,Introducao,codigo-professor,,Exemplos (introducao a Dafny),2026-05-11,bloco-12,bloco-12,20,1 dia · 11/05/2026,terminacao introducao dafny,baixa,prediction,SIM,sem card/data -> predicao do funil
invariantes,Invariantes,codigo-professor,,Exemplos (invariantes de laco),2026-05-11,bloco-11,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,prediction,SIM,sem card/data -> predicao do funil
terminacao,Terminacao,codigo-professor,,Exemplos (Terminacao),2026-05-11,bloco-11,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,prediction,SIM,sem card/data -> predicao do funil
tiposindutivos,Tiposindutivos,codigo-professor,,Exemplos (Tipos Indutivos),2026-05-31,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,baixa,prediction,SIM,sem card/data -> predicao do funil
exemplos-zip,Exemplos,codigo-professor,,Exemplos NuSMV,2026-02-18,bloco-12,bloco-12,20,1 dia · 11/05/2026,terminacao introducao dafny,baixa,prediction,SIM,sem card/data -> predicao do funil
