id,title,category,source_section,moodle_label,posting_date,predicted_block_id,proposed_true_block_id,block_aulas,block_dates,block_topic,confidence,method,needs_review,evidence
exercicios-gerencia-de-processos-e-cpu,Exercicios-Gerência de Processos e CPU,listas,,,,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,prediction,SIM,sem card/data -> predicao do funil
2603-algoritmos-de-escalonamento,26.03 Algoritmos de Escalonamento,material-de-aula,,,,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,date,SIM,data 26/03 no nome -> bloco unico bloco-03
2403-escalonamento-de-processos,24.03 Escalonamento de Processos,material-de-aula,,,,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,date,SIM,data 24/03 no nome -> bloco unico bloco-03
1903-estruturas-de-controle,19.03 Estruturas de Controle,material-de-aula,,,,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,date,SIM,data 19/03 no nome -> bloco unico bloco-03
1703-chamada-de-sistema,17.03 Chamada de Sistema,material-de-aula,,,,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,date,SIM,data 17/03 no nome -> bloco unico bloco-03
1203-processos,12.03 Processos,material-de-aula,,,,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,date,SIM,data 12/03 no nome -> bloco unico bloco-03
aula02-introducao,aula02_introducao,material-de-aula,Introdução aos Sistemas Operacionais,Definição e Histórico,2026-03-10,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,prediction,SIM,sem card/data -> predicao do funil
questoes-enade-sisop,Questões ENADE - SISOP,listas,Informações Gerais,Questões do ENADE sobre SISOP,2026-03-10,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,prediction,SIM,sem card/data -> predicao do funil
lista1-gab,lista1_gab,gabaritos,Informações Gerais,Lista Exercícios P1 Gabarito,2026-05-05,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,prediction,SIM,sem card/data -> predicao do funil
lista1,lista1,listas,Informações Gerais,Lista Exercícios P1,2026-05-05,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,prediction,SIM,sem card/data -> predicao do funil
ch9br-short,ch9br_short,material-de-aula,Gerência de Memória,02/06 Lâminas: Memória Virtual (Livro-texto),2026-03-10,bloco-09,bloco-09,"20,21,22,23,24,25",6 dias · 12/05/2026 a 28/05/2026,gerencia memoria politicas basicas virtual paginacao segmentacao paginada,baixa,prediction,SIM,sem card/data -> predicao do funil
exemplo-criacao-de-processos-no-unixlinux-20260603,Exemplo Criação De Processos No Unixlinux 20260603,codigo-professor,,,,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,prediction,SIM,sem card/data -> predicao do funil
