id,title,category,markdown_path,predicted_block_id,predicted_period,predicted_band,true_block_id
exerciciosdafny4,ExerciciosDafny4,listas,exercises/lists/exerciciosdafny4.md,bloco-13,4 dias · 13/05/2026 a 25/05/2026,baixa,bloco-13
exerciciosdafny5,ExerciciosDafny5,listas,exercises/lists/exerciciosdafny5.md,bloco-15,4 dias · 01/06/2026 a 10/06/2026,baixa,bloco-15
verificacaomodelos,verificacaomodelos,material-de-aula,content/curated/verificacaomodelos.md,bloco-16,5 dias · 15/06/2026 a 29/06/2026,alta,bloco-16
exercicioslogicatemporal,ExerciciosLogicaTemporal,listas,exercises/lists/exercicioslogicatemporal.md,bloco-16,5 dias · 15/06/2026 a 29/06/2026,alta,bloco-16
exerciciosnusmv,ExerciciosNusmv,listas,exercises/lists/exerciciosnusmv.md,bloco-16,5 dias · 15/06/2026 a 29/06/2026,media,bloco-16
classes-parte1,Classes Parte1,codigo-professor,None,bloco-16,5 dias · 15/06/2026 a 29/06/2026,media,bloco-16
colecoes-arrays,Colecoes Arrays,codigo-professor,None,bloco-13,4 dias · 13/05/2026 a 25/05/2026,alta,bloco-13
colecoes-conjuntos,Colecoes Conjuntos,codigo-professor,None,bloco-13,4 dias · 13/05/2026 a 25/05/2026,alta,bloco-13
colecoes-sequences,Colecoes Sequences,codigo-professor,None,bloco-13,4 dias · 13/05/2026 a 25/05/2026,alta,bloco-13
exercicios-conjuntos,Exercicios Conjuntos,codigo-professor,None,bloco-13,4 dias · 13/05/2026 a 25/05/2026,alta,bloco-13
hoare,Hoare,codigo-professor,None,bloco-10,3 dias · 27/04/2026 a 04/05/2026,alta,bloco-10
introducao-zip,Introducao,codigo-professor,None,bloco-12,1 dia · 11/05/2026,media,bloco-12
invariantes,Invariantes,codigo-professor,None,bloco-11,1 dia · 06/05/2026,alta,bloco-11
terminacao,Terminacao,codigo-professor,None,bloco-11,1 dia · 06/05/2026,alta,bloco-11
tiposindutivos,Tiposindutivos,codigo-professor,None,bloco-04,5 dias · 11/03/2026 a 25/03/2026,alta,bloco-04
exemplos-zip,Exemplos,codigo-professor,None,bloco-12,1 dia · 11/05/2026,alta,bloco-12
